Year,Month,U.S. Exports of Finished Petroleum Products Thousand Barrels per Day
2023,Nov,2882
2023,Oct,2811
2023,Sep,2705
2023,Aug,2911
2023,Jul,3187
2023,Jun,3181
2023,May,2914
2023,Apr,2633
2023,Mar,3134
2023,Feb,2685
2023,Jan,2919
2022,Dec,3291
2022,Nov,3141
2022,Oct,2833
2022,Sep,3345
2022,Aug,3346
2022,Jul,3260
2022,Jun,3255
2022,May,3159
2022,Apr,3177
2022,Mar,2976
2022,Feb,2695
2022,Jan,2546
2021,Dec,3214
2021,Nov,2912
2021,Oct,2724
2021,Sep,2547
2021,Aug,2828
2021,Jul,3064
2021,Jun,2949
2021,May,2718
2021,Apr,2681
2021,Mar,2399
2021,Feb,2281
2021,Jan,2415
2020,Dec,2835
2020,Nov,2608
2020,Oct,2635
2020,Sep,2712
2020,Aug,2838
2020,Jul,2770
2020,Jun,2572
2020,May,1883
2020,Apr,2786
2020,Mar,3346
2020,Feb,3341
2020,Jan,3318
2019,Dec,3417
2019,Nov,3283
2019,Oct,3165
2019,Sep,3340
2019,Aug,3467
2019,Jul,3062
2019,Jun,3202
2019,May,3125
2019,Apr,3160
2019,Mar,3143
2019,Feb,3335
2019,Jan,3336
2018,Dec,3734
2018,Nov,3706
2018,Oct,3565
2018,Sep,3206
2018,Aug,3193
2018,Jul,3478
2018,Jun,3405
2018,May,3488
2018,Apr,3645
2018,Mar,3418
2018,Feb,3264
2018,Jan,3158
2017,Dec,3524
2017,Nov,3553
2017,Oct,3535
2017,Sep,2921
2017,Aug,3163
2017,Jul,3641
2017,Jun,3699
2017,May,3287
2017,Apr,3291
2017,Mar,3167
2017,Feb,3360
2017,Jan,2992
2016,Dec,3248
2016,Nov,3099
2016,Oct,2742
2016,Sep,3087
2016,Aug,2817
2016,Jul,3051
2016,Jun,3294
2016,May,3097
2016,Apr,2914
2016,Mar,2926
2016,Feb,2724
2016,Jan,2664
2015,Dec,3125
2015,Nov,2938
2015,Oct,2664
2015,Sep,2803
2015,Aug,2588
2015,Jul,2972
2015,Jun,2705
2015,May,2837
2015,Apr,2871
2015,Mar,2473
2015,Feb,2786
2015,Jan,2757
2014,Dec,3093
2014,Nov,2676
2014,Oct,2517
2014,Sep,2496
2014,Aug,2923
2014,Jul,2847
2014,Jun,2728
2014,May,2740
2014,Apr,2697
2014,Mar,2814
2014,Feb,2500
2014,Jan,2545
2013,Dec,3173
2013,Nov,2782
2013,Oct,2900
2013,Sep,2722
2013,Aug,2915
2013,Jul,2858
2013,Jun,2800
2013,May,2599
2013,Apr,2313
2013,Mar,2266
2013,Feb,2388
2013,Jan,2179
2012,Dec,2994
2012,Nov,2752
2012,Oct,2654
2012,Sep,2548
2012,Aug,2490
2012,Jul,2615
2012,Jun,2647
2012,May,2648
2012,Apr,2701
2012,Mar,2539
2012,Feb,2389
2012,Jan,2324
2011,Dec,3147
2011,Nov,2664
2011,Oct,2686
2011,Sep,2714
2011,Aug,2546
2011,Jul,2524
2011,Jun,2257
2011,May,2252
2011,Apr,2451
2011,Mar,2211
2011,Feb,2269
2011,Jan,2298
2010,Dec,2254
2010,Nov,2272
2010,Oct,2169
2010,Sep,2010
2010,Aug,2089
2010,Jul,2148
2010,Jun,2026
2010,May,2077
2010,Apr,2063
2010,Mar,1851
2010,Feb,1725
2010,Jan,1595
2009,Dec,1701
2009,Nov,1782
2009,Oct,1917
2009,Sep,1856
2009,Aug,1850
2009,Jul,2134
2009,Jun,1730
2009,May,1797
2009,Apr,1689
2009,Mar,1596
2009,Feb,1553
2009,Jan,1692
2008,Dec,1698
2008,Nov,1558
2008,Oct,1440
2008,Sep,1191
2008,Aug,1868
2008,Jul,1880
2008,Jun,1974
2008,May,1592
2008,Apr,1551
2008,Mar,1559
2008,Feb,1601
2008,Jan,1377
2007,Dec,1356
2007,Nov,1536
2007,Oct,1184
2007,Sep,1196
2007,Aug,1279
2007,Jul,1311
2007,Jun,1141
2007,May,1213
2007,Apr,1221
2007,Mar,1071
2007,Feb,1164
2007,Jan,1288
2006,Dec,1001
2006,Nov,1216
2006,Oct,1335
2006,Sep,1406
2006,Aug,1064
2006,Jul,1218
2006,Jun,1134
2006,May,1191
2006,Apr,1166
2006,Mar,1001
2006,Feb,1098
2006,Jan,910
2005,Dec,970
2005,Nov,811
2005,Oct,734
2005,Sep,716
2005,Aug,1125
2005,Jul,1086
2005,Jun,1318
2005,May,1189
2005,Apr,1127
2005,Mar,1135
2005,Feb,1136
2005,Jan,780
2004,Dec,1115
2004,Nov,855
2004,Oct,969
2004,Sep,832
2004,Aug,981
2004,Jul,907
2004,Jun,901
2004,May,924
2004,Apr,994
2004,Mar,914
2004,Feb,922
2004,Jan,643
2003,Dec,852
2003,Nov,824
2003,Oct,857
2003,Sep,851
2003,Aug,852
2003,Jul,870
2003,Jun,918
2003,May,952
2003,Apr,932
2003,Mar,936
2003,Feb,888
2003,Jan,1028
2002,Dec,1076
2002,Nov,821
2002,Oct,792
2002,Sep,829
2002,Aug,1013
2002,Jul,716
2002,Jun,807
2002,May,769
2002,Apr,776
2002,Mar,739
2002,Feb,1024
2002,Jan,755
2001,Dec,1024
2001,Nov,874
2001,Oct,873
2001,Sep,753
2001,Aug,939
2001,Jul,765
2001,Jun,861
2001,May,920
2001,Apr,875
2001,Mar,831
2001,Feb,883
2001,Jan,823
2000,Dec,943
2000,Nov,984
2000,Oct,1143
2000,Sep,929
2000,Aug,943
2000,Jul,762
2000,Jun,783
2000,May,717
2000,Apr,875
2000,Mar,855
2000,Feb,728
2000,Jan,693
1999,Dec,972
1999,Nov,774
1999,Oct,766
1999,Sep,766
1999,Aug,677
1999,Jul,724
1999,Jun,696
1999,May,747
1999,Apr,815
1999,Mar,607
1999,Feb,534
1999,Jan,660
1998,Dec,698
1998,Nov,614
1998,Oct,653
1998,Sep,748
1998,Aug,641
1998,Jul,784
1998,Jun,831
1998,May,823
1998,Apr,800
1998,Mar,769
1998,Feb,674
1998,Jan,765
1997,Dec,969
1997,Nov,793
1997,Oct,849
1997,Sep,793
1997,Aug,889
1997,Jul,862
1997,Jun,811
1997,May,785
1997,Apr,769
1997,Mar,695
1997,Feb,683
1997,Jan,843
