,Year,Month,U.S. Product Supplied of Finished Motor Gasoline Thousand Barrels
0,2023,Nov,265335
1,2023,Oct,281902
2,2023,Sep,264971
3,2023,Aug,288277
4,2023,Jul,279416
5,2023,Jun,278365
6,2023,May,282251
7,2023,Apr,269880
8,2023,Mar,279211
9,2023,Feb,244016
10,2023,Jan,256756
11,2022,Dec,266473
12,2022,Nov,264805
13,2022,Oct,273011
14,2022,Sep,265399
15,2022,Aug,282576
16,2022,Jul,273158
17,2022,Jun,272253
18,2022,May,282692
19,2022,Apr,263962
20,2022,Mar,279159
21,2022,Feb,242205
22,2022,Jan,249918
23,2021,Dec,275262
24,2021,Nov,270632
25,2021,Oct,279835
26,2021,Sep,267974
27,2021,Aug,284652
28,2021,Jul,288209
29,2021,Jun,280850
30,2021,May,281504
31,2021,Apr,265181
32,2021,Mar,265148
33,2021,Feb,219060
34,2021,Jan,239423
35,2020,Dec,243518
36,2020,Nov,240041
37,2020,Oct,257809
38,2020,Sep,256233
39,2020,Aug,264247
40,2020,Jul,262269
41,2020,Jun,248746
42,2020,May,223138
43,2020,Apr,175973
44,2020,Mar,241149
45,2020,Feb,262463
46,2020,Jan,270430
47,2019,Dec,278108
48,2019,Nov,276272
49,2019,Oct,288554
50,2019,Sep,275925
51,2019,Aug,304844
52,2019,Jul,295522
53,2019,Jun,291099
54,2019,May,294420
55,2019,Apr,282318
56,2019,Mar,284706
57,2019,Feb,254011
58,2019,Jan,272130
59,2018,Dec,284535
60,2018,Nov,278712
61,2018,Oct,288109
62,2018,Sep,274577
63,2018,Aug,303123
64,2018,Jul,298852
65,2018,Jun,293911
66,2018,May,294973
67,2018,Apr,276179
68,2018,Mar,293401
69,2018,Feb,246292
70,2018,Jan,272415
71,2017,Dec,286643
72,2017,Nov,273314
73,2017,Oct,290071
74,2017,Sep,281327
75,2017,Aug,302303
76,2017,Jul,297452
77,2017,Jun,293168
78,2017,May,296044
79,2017,Apr,278855
80,2017,Mar,289083
81,2017,Feb,252217
82,2017,Jan,263708
83,2016,Dec,287779
84,2016,Nov,276997
85,2016,Oct,281893
86,2016,Sep,284512
87,2016,Aug,300300
88,2016,Jul,296905
89,2016,Jun,288238
90,2016,May,291924
91,2016,Apr,275266
92,2016,Mar,290568
93,2016,Feb,267417
94,2016,Jan,268252
95,2015,Dec,283575
96,2015,Nov,273349
97,2015,Oct,286585
98,2015,Sep,278658
99,2015,Aug,293263
100,2015,Jul,293579
101,2015,Jun,282512
102,2015,May,287136
103,2015,Apr,275684
104,2015,Mar,280753
105,2015,Feb,247200
106,2015,Jan,267812
107,2014,Dec,277164
108,2014,Nov,267635
109,2014,Oct,283585
110,2014,Sep,264648
111,2014,Aug,288643
112,2014,Jul,286709
113,2014,Jun,271181
114,2014,May,279707
115,2014,Apr,268654
116,2014,Mar,269597
117,2014,Feb,242108
118,2014,Jan,256477
119,2013,Dec,268755
120,2013,Nov,267684
121,2013,Oct,277261
122,2013,Sep,268394
123,2013,Aug,282851
124,2013,Jul,283530
125,2013,Jun,272326
126,2013,May,280036
127,2013,Apr,265661
128,2013,Mar,267857
129,2013,Feb,235070
130,2013,Jan,258264
131,2012,Dec,260055
132,2012,Nov,254478
133,2012,Oct,269723
134,2012,Sep,256825
135,2012,Aug,283769
136,2012,Jul,273119
137,2012,Jun,269866
138,2012,May,278355
139,2012,Apr,262216
140,2012,Mar,266044
141,2012,Feb,249335
142,2012,Jan,253903
143,2011,Dec,269185
144,2011,Nov,256114
145,2011,Oct,268106
146,2011,Sep,262317
147,2011,Aug,276684
148,2011,Jul,279968
149,2011,Jun,272011
150,2011,May,273335
151,2011,Apr,263888
152,2011,Mar,272758
153,2011,Feb,240913
154,2011,Jan,259475
155,2010,Dec,276236
156,2010,Nov,264478
157,2010,Oct,279484
158,2010,Sep,273368
159,2010,Aug,286918
160,2010,Jul,288327
161,2010,Jun,279329
162,2010,May,284037
163,2010,Apr,273234
164,2010,Mar,272578
165,2010,Feb,240222
166,2010,Jan,264106
167,2009,Dec,276866
168,2009,Nov,267169
169,2009,Oct,278577
170,2009,Sep,267318
171,2009,Aug,288139
172,2009,Jul,287073
173,2009,Jun,275395
174,2009,May,281603
175,2009,Apr,270873
176,2009,Mar,275985
177,2009,Feb,247422
178,2009,Jan,267311
179,2008,Dec,276748
180,2008,Nov,267115
181,2008,Oct,279751
182,2008,Sep,254916
183,2008,Aug,283161
184,2008,Jul,283643
185,2008,Jun,273291
186,2008,May,286784
187,2008,Apr,273367
188,2008,Mar,281053
189,2008,Feb,257120
190,2008,Jan,273106
191,2007,Dec,286777
192,2007,Nov,276876
193,2007,Oct,286318
194,2007,Sep,277627
195,2007,Aug,297041
196,2007,Jul,298827
197,2007,Jun,284741
198,2007,May,292463
199,2007,Apr,276463
200,2007,Mar,284506
201,2007,Feb,252180
202,2007,Jan,275451
203,2006,Dec,289478
204,2006,Nov,277331
205,2006,Oct,287265
206,2006,Sep,277072
207,2006,Aug,296476
208,2006,Jul,297822
209,2006,Jun,284350
210,2006,May,288535
211,2006,Apr,274619
212,2006,Mar,280689
213,2006,Feb,249517
214,2006,Jan,274021
215,2005,Dec,288161
216,2005,Nov,273452
217,2005,Oct,280121
218,2005,Sep,267454
219,2005,Aug,295651
220,2005,Jul,295548
221,2005,Jun,281178
222,2005,May,287628
223,2005,Apr,273827
224,2005,Mar,278801
225,2005,Feb,248120
226,2005,Jan,273190
227,2004,Dec,285372
228,2004,Nov,271654
229,2004,Oct,282002
230,2004,Sep,270464
231,2004,Aug,289125
232,2004,Jul,290081
233,2004,Jun,279654
234,2004,May,284562
235,2004,Apr,273777
236,2004,Mar,279745
237,2004,Feb,256288
238,2004,Jan,269855
239,2003,Dec,279339
240,2003,Nov,268366
241,2003,Oct,282336
242,2003,Sep,267775
243,2003,Aug,291755
244,2003,Jul,284942
245,2003,Jun,275105
246,2003,May,280294
247,2003,Apr,265141
248,2003,Mar,266652
249,2003,Feb,238713
250,2003,Jan,260819
251,2002,Dec,275695
252,2002,Nov,264858
253,2002,Oct,273226
254,2002,Sep,260596
255,2002,Aug,288688
256,2002,Jul,283440
257,2002,Jun,274204
258,2002,May,281433
259,2002,Apr,262971
260,2002,Mar,268320
261,2002,Feb,240991
262,2002,Jan,255039
263,2001,Dec,266139
264,2001,Nov,260304
265,2001,Oct,268294
266,2001,Sep,256718
267,2001,Aug,277552
268,2001,Jul,279714
269,2001,Jun,260694
270,2001,May,269882
271,2001,Apr,257252
272,2001,Mar,264496
273,2001,Feb,230538
274,2001,Jan,251077
275,2000,Dec,268765
276,2000,Nov,251518
277,2000,Oct,260918
278,2000,Sep,255526
279,2000,Aug,276540
280,2000,Jul,267906
281,2000,Jun,264735
282,2000,May,268482
283,2000,Apr,251246
284,2000,Mar,257464
285,2000,Feb,240439
286,2000,Jan,237235
287,1999,Dec,274630
288,1999,Nov,247203
289,1999,Oct,264787
290,1999,Sep,249150
291,1999,Aug,265964
292,1999,Jul,277189
293,1999,Jun,266579
294,1999,May,261008
295,1999,Apr,255166
296,1999,Mar,251957
297,1999,Feb,224868
298,1999,Jan,238740
299,1998,Dec,261969
300,1998,Nov,245001
301,1998,Oct,259724
302,1998,Sep,249305
303,1998,Aug,265623
304,1998,Jul,269091
305,1998,Jun,255612
306,1998,May,256650
307,1998,Apr,249360
308,1998,Mar,248109
309,1998,Feb,215908
310,1998,Jan,236144
311,1997,Dec,250015
312,1997,Nov,238939
313,1997,Oct,252370
314,1997,Sep,240676
315,1997,Aug,255227
316,1997,Jul,263361
317,1997,Jun,248636
318,1997,May,252308
319,1997,Apr,241914
320,1997,Mar,241671
321,1997,Feb,214691
322,1997,Jan,226340
