Month Year ,U.S. Exports of Finished Petroleum Products Thousand Barrels per Day
Aug 2023,2911
Jul 2023,3187
Jun 2023,3181
May 2023,2914
Apr 2023,2633
Mar 2023,3134
Feb 2023,2685
Jan 2023,2919
Dec 2022,3291
Nov 2022,3141
Oct 2022,2833
Sep 2022,3345
Aug 2022,3346
Jul 2022,3260
Jun 2022,3255
May 2022,3159
Apr 2022,3177
Mar 2022,2976
Feb 2022,2695
Jan 2022,2546
Dec 2021,3214
Nov 2021,2912
Oct 2021,2724
Sep 2021,2547
Aug 2021,2828
Jul 2021,3064
Jun 2021,2949
May 2021,2718
Apr 2021,2681
Mar 2021,2399
Feb 2021,2281
Jan 2021,2415
Dec 2020,2835
Nov 2020,2608
Oct 2020,2635
Sep 2020,2712
Aug 2020,2838
Jul 2020,2770
Jun 2020,2572
May 2020,1883
Apr 2020,2786
Mar 2020,3346
Feb 2020,3341
Jan 2020,3318
Dec 2019,3417
Nov 2019,3283
Oct 2019,3165
Sep 2019,3340
Aug 2019,3467
Jul 2019,3062
Jun 2019,3202
May 2019,3125
Apr 2019,3160
Mar 2019,3143
Feb 2019,3335
Jan 2019,3336
Dec 2018,3734
Nov 2018,3706
Oct 2018,3565
Sep 2018,3206
Aug 2018,3193
Jul 2018,3478
Jun 2018,3405
May 2018,3488
Apr 2018,3645
Mar 2018,3418
Feb 2018,3264
Jan 2018,3158
Dec 2017,3524
Nov 2017,3553
Oct 2017,3535
Sep 2017,2921
Aug 2017,3163
Jul 2017,3641
Jun 2017,3699
May 2017,3287
Apr 2017,3291
Mar 2017,3167
Feb 2017,3360
Jan 2017,2992
Dec 2016,3248
Nov 2016,3099
Oct 2016,2742
Sep 2016,3087
Aug 2016,2817
Jul 2016,3051
Jun 2016,3294
May 2016,3097
Apr 2016,2914
Mar 2016,2926
Feb 2016,2724
Jan 2016,2664
Dec 2015,3125
Nov 2015,2938
Oct 2015,2664
Sep 2015,2803
Aug 2015,2588
Jul 2015,2972
Jun 2015,2705
May 2015,2837
Apr 2015,2871
Mar 2015,2473
Feb 2015,2786
Jan 2015,2757
Dec 2014,3093
Nov 2014,2676
Oct 2014,2517
Sep 2014,2496
Aug 2014,2923
Jul 2014,2847
Jun 2014,2728
May 2014,2740
Apr 2014,2697
Mar 2014,2814
Feb 2014,2500
Jan 2014,2545
Dec 2013,3173
Nov 2013,2782
Oct 2013,2900
Sep 2013,2722
Aug 2013,2915
Jul 2013,2858
Jun 2013,2800
May 2013,2599
Apr 2013,2313
Mar 2013,2266
Feb 2013,2388
Jan 2013,2179
Dec 2012,2994
Nov 2012,2752
Oct 2012,2654
Sep 2012,2548
Aug 2012,2490
Jul 2012,2615
Jun 2012,2647
May 2012,2648
Apr 2012,2701
Mar 2012,2539
Feb 2012,2389
Jan 2012,2324
Dec 2011,3147
Nov 2011,2664
Oct 2011,2686
Sep 2011,2714
Aug 2011,2546
Jul 2011,2524
Jun 2011,2257
May 2011,2252
Apr 2011,2451
Mar 2011,2211
Feb 2011,2269
Jan 2011,2298
Dec 2010,2254
Nov 2010,2272
Oct 2010,2169
Sep 2010,2010
Aug 2010,2089
Jul 2010,2148
Jun 2010,2026
May 2010,2077
Apr 2010,2063
Mar 2010,1851
Feb 2010,1725
Jan 2010,1595
Dec 2009,1701
Nov 2009,1782
Oct 2009,1917
Sep 2009,1856
Aug 2009,1850
Jul 2009,2134
Jun 2009,1730
May 2009,1797
Apr 2009,1689
Mar 2009,1596
Feb 2009,1553
Jan 2009,1692
Dec 2008,1698
Nov 2008,1558
Oct 2008,1440
Sep 2008,1191
Aug 2008,1868
Jul 2008,1880
Jun 2008,1974
May 2008,1592
Apr 2008,1551
Mar 2008,1559
Feb 2008,1601
Jan 2008,1377
Dec 2007,1356
Nov 2007,1536
Oct 2007,1184
Sep 2007,1196
Aug 2007,1279
Jul 2007,1311
Jun 2007,1141
May 2007,1213
Apr 2007,1221
Mar 2007,1071
