,Year,Gallons per Vehicle
32,1981,697
33,1982,686
34,1983,686
35,1984,691
36,1985,685
37,1986,692
38,1987,694
39,1988,688
40,1989,688
41,1990,677
42,1991,669
43,1992,683
44,1993,693
45,1994,698
46,1995,700
47,1996,700
48,1997,711
49,1998,721
50,1999,732
51,2000,720
52,2001,695
53,2002,719
54,2003,718
55,2004,714
56,2005,706
57,2006,698
58,2007,693
59,2008,667
60,2009,661
61,2010,681
62,2011,665
63,2012,665
64,2013,663
65,2014,666
66,2015,656
67,2016,658
68,2017,653
69,2018,651
70,2019,651
71,2020,577
72,2021,617
