,U.S. Exports of Finished Petroleum Products Thousand Barrels per Day,Month,Year
0,2911,Aug,2023
1,3187,Jul,2023
2,3181,Jun,2023
3,2914,May,2023
4,2633,Apr,2023
5,3134,Mar,2023
6,2685,Feb,2023
7,2919,Jan,2023
8,3291,Dec,2022
9,3141,Nov,2022
10,2833,Oct,2022
11,3345,Sep,2022
12,3346,Aug,2022
13,3260,Jul,2022
14,3255,Jun,2022
15,3159,May,2022
16,3177,Apr,2022
17,2976,Mar,2022
18,2695,Feb,2022
19,2546,Jan,2022
20,3214,Dec,2021
21,2912,Nov,2021
22,2724,Oct,2021
23,2547,Sep,2021
24,2828,Aug,2021
25,3064,Jul,2021
26,2949,Jun,2021
27,2718,May,2021
28,2681,Apr,2021
29,2399,Mar,2021
30,2281,Feb,2021
31,2415,Jan,2021
32,2835,Dec,2020
33,2608,Nov,2020
34,2635,Oct,2020
35,2712,Sep,2020
36,2838,Aug,2020
37,2770,Jul,2020
38,2572,Jun,2020
39,1883,May,2020
40,2786,Apr,2020
41,3346,Mar,2020
42,3341,Feb,2020
43,3318,Jan,2020
44,3417,Dec,2019
45,3283,Nov,2019
46,3165,Oct,2019
47,3340,Sep,2019
48,3467,Aug,2019
49,3062,Jul,2019
50,3202,Jun,2019
51,3125,May,2019
52,3160,Apr,2019
53,3143,Mar,2019
54,3335,Feb,2019
55,3336,Jan,2019
56,3734,Dec,2018
57,3706,Nov,2018
58,3565,Oct,2018
59,3206,Sep,2018
60,3193,Aug,2018
61,3478,Jul,2018
62,3405,Jun,2018
63,3488,May,2018
64,3645,Apr,2018
65,3418,Mar,2018
66,3264,Feb,2018
67,3158,Jan,2018
68,3524,Dec,2017
69,3553,Nov,2017
70,3535,Oct,2017
71,2921,Sep,2017
72,3163,Aug,2017
73,3641,Jul,2017
74,3699,Jun,2017
75,3287,May,2017
76,3291,Apr,2017
77,3167,Mar,2017
78,3360,Feb,2017
79,2992,Jan,2017
80,3248,Dec,2016
81,3099,Nov,2016
82,2742,Oct,2016
83,3087,Sep,2016
84,2817,Aug,2016
85,3051,Jul,2016
86,3294,Jun,2016
87,3097,May,2016
88,2914,Apr,2016
89,2926,Mar,2016
90,2724,Feb,2016
91,2664,Jan,2016
92,3125,Dec,2015
93,2938,Nov,2015
94,2664,Oct,2015
95,2803,Sep,2015
96,2588,Aug,2015
97,2972,Jul,2015
98,2705,Jun,2015
99,2837,May,2015
100,2871,Apr,2015
101,2473,Mar,2015
102,2786,Feb,2015
103,2757,Jan,2015
104,3093,Dec,2014
105,2676,Nov,2014
106,2517,Oct,2014
107,2496,Sep,2014
108,2923,Aug,2014
109,2847,Jul,2014
110,2728,Jun,2014
111,2740,May,2014
112,2697,Apr,2014
113,2814,Mar,2014
114,2500,Feb,2014
115,2545,Jan,2014
116,3173,Dec,2013
117,2782,Nov,2013
118,2900,Oct,2013
119,2722,Sep,2013
120,2915,Aug,2013
121,2858,Jul,2013
122,2800,Jun,2013
123,2599,May,2013
124,2313,Apr,2013
125,2266,Mar,2013
126,2388,Feb,2013
127,2179,Jan,2013
128,2994,Dec,2012
129,2752,Nov,2012
130,2654,Oct,2012
131,2548,Sep,2012
132,2490,Aug,2012
133,2615,Jul,2012
134,2647,Jun,2012
135,2648,May,2012
136,2701,Apr,2012
137,2539,Mar,2012
138,2389,Feb,2012
139,2324,Jan,2012
140,3147,Dec,2011
141,2664,Nov,2011
142,2686,Oct,2011
143,2714,Sep,2011
144,2546,Aug,2011
145,2524,Jul,2011
146,2257,Jun,2011
147,2252,May,2011
148,2451,Apr,2011
149,2211,Mar,2011
150,2269,Feb,2011
151,2298,Jan,2011
152,2254,Dec,2010
153,2272,Nov,2010
154,2169,Oct,2010
155,2010,Sep,2010
156,2089,Aug,2010
157,2148,Jul,2010
158,2026,Jun,2010
159,2077,May,2010
160,2063,Apr,2010
161,1851,Mar,2010
162,1725,Feb,2010
163,1595,Jan,2010
164,1701,Dec,2009
165,1782,Nov,2009
166,1917,Oct,2009
167,1856,Sep,2009
168,1850,Aug,2009
169,2134,Jul,2009
170,1730,Jun,2009
171,1797,May,2009
172,1689,Apr,2009
173,1596,Mar,2009
174,1553,Feb,2009
175,1692,Jan,2009
176,1698,Dec,2008
177,1558,Nov,2008
178,1440,Oct,2008
179,1191,Sep,2008
180,1868,Aug,2008
181,1880,Jul,2008
182,1974,Jun,2008
183,1592,May,2008
184,1551,Apr,2008
185,1559,Mar,2008
186,1601,Feb,2008
187,1377,Jan,2008
188,1356,Dec,2007
189,1536,Nov,2007
190,1184,Oct,2007
191,1196,Sep,2007
