Exports,Month,Year
2911,08,2023
3187,07,2023
3181,06,2023
2914,05,2023
2633,04,2023
3134,03,2023
2685,02,2023
2919,01,2023
3291,12,2022
3141,11,2022
2833,10,2022
3345,09,2022
3346,08,2022
3260,07,2022
3255,06,2022
3159,05,2022
3177,04,2022
2976,03,2022
2695,02,2022
2546,01,2022
3214,12,2021
2912,11,2021
2724,10,2021
2547,09,2021
2828,08,2021
3064,07,2021
2949,06,2021
2718,05,2021
2681,04,2021
2399,03,2021
2281,02,2021
2415,01,2021
2835,12,2020
2608,11,2020
2635,10,2020
2712,09,2020
2838,08,2020
2770,07,2020
2572,06,2020
1883,05,2020
2786,04,2020
3346,03,2020
3341,02,2020
3318,01,2020
3417,12,2019
3283,11,2019
3165,10,2019
3340,09,2019
3467,08,2019
3062,07,2019
3202,06,2019
3125,05,2019
3160,04,2019
3143,03,2019
3335,02,2019
3336,01,2019
3734,12,2018
3706,11,2018
3565,10,2018
3206,09,2018
3193,08,2018
3478,07,2018
3405,06,2018
3488,05,2018
3645,04,2018
3418,03,2018
3264,02,2018
3158,01,2018
3524,12,2017
3553,11,2017
3535,10,2017
2921,09,2017
3163,08,2017
3641,07,2017
3699,06,2017
3287,05,2017
3291,04,2017
3167,03,2017
3360,02,2017
2992,01,2017
3248,12,2016
3099,11,2016
2742,10,2016
3087,09,2016
2817,08,2016
3051,07,2016
3294,06,2016
3097,05,2016
2914,04,2016
2926,03,2016
2724,02,2016
2664,01,2016
3125,12,2015
2938,11,2015
2664,10,2015
2803,09,2015
2588,08,2015
2972,07,2015
2705,06,2015
2837,05,2015
2871,04,2015
2473,03,2015
2786,02,2015
2757,01,2015
3093,12,2014
2676,11,2014
2517,10,2014
2496,09,2014
2923,08,2014
2847,07,2014
2728,06,2014
2740,05,2014
2697,04,2014
2814,03,2014
2500,02,2014
2545,01,2014
3173,12,2013
2782,11,2013
2900,10,2013
2722,09,2013
2915,08,2013
2858,07,2013
2800,06,2013
2599,05,2013
2313,04,2013
2266,03,2013
2388,02,2013
2179,01,2013
2994,12,2012
2752,11,2012
2654,10,2012
2548,09,2012
2490,08,2012
2615,07,2012
2647,06,2012
2648,05,2012
2701,04,2012
2539,03,2012
2389,02,2012
2324,01,2012
3147,12,2011
2664,11,2011
2686,10,2011
2714,09,2011
2546,08,2011
2524,07,2011
2257,06,2011
2252,05,2011
2451,04,2011
2211,03,2011
2269,02,2011
2298,01,2011
2254,12,2010
2272,11,2010
2169,10,2010
2010,09,2010
2089,08,2010
2148,07,2010
2026,06,2010
2077,05,2010
2063,04,2010
1851,03,2010
1725,02,2010
1595,01,2010
1701,12,2009
1782,11,2009
1917,10,2009
1856,09,2009
1850,08,2009
2134,07,2009
1730,06,2009
1797,05,2009
1689,04,2009
1596,03,2009
1553,02,2009
1692,01,2009
1698,12,2008
1558,11,2008
1440,10,2008
1191,09,2008
1868,08,2008
1880,07,2008
1974,06,2008
1592,05,2008
1551,04,2008
1559,03,2008
1601,02,2008
1377,01,2008
1356,12,2007
1536,11,2007
1184,10,2007
1196,09,2007
1279,08,2007
1311,07,2007
1141,06,2007
1213,05,2007
1221,04,2007
1071,03,2007
1164,02,2007
1288,01,2007
1001,12,2006
1216,11,2006
1335,10,2006
1406,09,2006
1064,08,2006
1218,07,2006
1134,06,2006
1191,05,2006
1166,04,2006
1001,03,2006
1098,02,2006
910,01,2006
970,12,2005
811,11,2005
734,10,2005
716,09,2005
1125,08,2005
1086,07,2005
1318,06,2005
1189,05,2005
1127,04,2005
1135,03,2005
1136,02,2005
780,01,2005
1115,12,2004
855,11,2004
969,10,2004
832,09,2004
981,08,2004
907,07,2004
901,06,2004
924,05,2004
994,04,2004
914,03,2004
922,02,2004
643,01,2004
852,12,2003
824,11,2003
857,10,2003
851,09,2003
852,08,2003
870,07,2003
918,06,2003
952,05,2003
932,04,2003
936,03,2003
888,02,2003
1028,01,2003
1076,12,2002
821,11,2002
792,10,2002
829,09,2002
1013,08,2002
716,07,2002
807,06,2002
769,05,2002
776,04,2002
739,03,2002
1024,02,2002
755,01,2002
965,12,1990
907,11,1990
806,10,1990
737,09,1990
742,08,1990
569,07,1990
686,06,1990
540,05,1990
623,04,1990
703,03,1990
674,02,1990
532,01,1990
781,12,1989
820,11,1989
698,10,1989
592,09,1989
762,08,1989
655,07,1989
683,06,1989
604,05,1989
641,04,1989
655,03,1989
629,02,1989
595,01,1989
792,12,1988
494,11,1988
508,10,1988
509,09,1988
609,08,1988
603,07,1988
761,06,1988
636,05,1988
516,04,1988
584,03,1988
670,02,1988
632,01,1988
779,12,1987
536,11,1987
539,10,1987
622,09,1987
488,08,1987
499,07,1987
532,06,1987
561,05,1987
585,04,1987
516,03,1987
654,02,1987
573,01,1987
626,12,1986
648,11,1986
654,10,1986
524,09,1986
579,08,1986
568,07,1986
376,06,1986
583,05,1986
720,04,1986
469,03,1986
635,02,1986
653,01,1986
651,12,1985
657,11,1985
520,10,1985
589,09,1985
425,08,1985
451,07,1985
414,06,1985
415,05,1985
447,04,1985
453,03,1985
562,02,1985
575,01,1985
713,12,1984
597,11,1984
400,10,1984
476,09,1984
506,08,1984
383,07,1984
587,06,1984
503,05,1984
427,04,1984
531,03,1984
353,02,1984
399,01,1984
478,12,1983
461,11,1983
404,10,1983
421,09,1983
462,08,1983
372,07,1983
572,06,1983
484,05,1983
605,04,1983
500,03,1983
528,02,1983
738,01,1983
611,12,1982
487,11,1982
580,10,1982
522,09,1982
493,08,1982
475,07,1982
503,06,1982
499,05,1982
534,04,1982
487,03,1982
449,02,1982
523,01,1982
417,12,1981
364,11,1981
436,10,1981
305,09,1981
291,08,1981
297,07,1981
273,06,1981
264,05,1981
346,04,1981
356,03,1981
350,02,1981
198,01,1981
