"Series Key",EBA.US48-ALL.D.H
"Series Name","EBA.US48-ALL.D.H, hourly"
Units,megawatthours
Frequency,H
"Start Date",20231102T20
"End Date",20230408T13
Source,"EIA, U.S. Energy Information Administration"

20231102T20,379564
20231102T19,390938
20231102T18,398476
20231102T17,407072
20231102T16,420587
20231102T15,432752
20231102T14,446761
20231102T13,453589
20231102T12,445622
20231102T11,421474
20231102T10,395116
20231102T09,380796
20231102T08,377311
20231102T07,378525
20231102T06,383570
20231102T05,421496
20231102T04,434426
20231102T03,450361
20231102T02,462985
20231102T01,467207
20231102T00,462810
20231101T23,448974
20231101T22,435556
20231101T21,428129
20231101T20,427742
20231101T19,432745
20231101T18,439344
20231101T17,446957
20231101T16,456203
20231101T15,462672
20231101T14,467749
20231101T13,467765
20231101T12,455564
20231101T11,429081
20231101T10,404083
20231101T09,393028
20231101T08,388291
20231101T07,391706
20231101T06,398082
20231101T05,406874
20231101T04,419979
20231101T03,434658
20231101T02,445722
20231101T01,447553
20231101T00,443301
20231031T23,437297
20231031T22,433189
20231031T21,428875
20231031T20,430929
20231031T19,434700
20231031T18,439489
20231031T17,443977
20231031T16,447509
20231031T15,450883
20231031T14,452149
20231031T13,450066
20231031T12,436866
20231031T11,410398
20231031T10,387520
20231031T09,378843
20231031T08,376194
20231031T07,379881
20231031T06,387489
20231031T05,397360
20231031T04,414110
20231031T03,432623
20231031T02,448278
20231031T01,456062
20231031T00,457211
20231030T23,451056
20231030T22,446168
20231030T21,442885
20231030T20,443192
20231030T19,446365
20231030T18,448973
20231030T17,449052
20231030T16,448641
20231030T15,444804
20231030T14,436721
20231030T13,426605
20231030T12,410307
20231030T11,384297
20231030T10,362045
20231030T09,351450
20231030T08,350188
20231030T07,354960
20231030T06,358606
20231030T05,370535
20231030T04,386768
20231030T03,404843
20231030T02,420378
20231030T01,429942
20231030T00,431885
20231029T23,429268
20231029T22,426488
20231029T21,422546
20231029T20,418856
20231029T19,416729
20231029T18,412593
20231029T17,406780
20231029T16,397844
20231029T15,386383
20231029T14,373491
20231029T13,360147
20231029T12,348857
20231029T11,341786
20231029T10,339301
20231029T09,340427
20231029T08,344006
20231029T07,350255
20231029T06,359369
20231029T05,372152
20231029T04,388041
20231029T03,402663
20231029T02,414693
20231029T01,423417
20231029T00,428357
20231028T23,428592
20231028T22,428633
20231028T21,426377
20231028T20,422287
20231028T19,418795
20231028T18,414131
20231028T17,409479
20231028T16,402867
20231028T15,392699
20231028T14,379870
20231028T13,368354
20231028T12,357006
20231028T11,347598
20231028T10,342654
20231028T09,343339
20231028T08,347230
20231028T07,355969
20231028T06,367378
20231028T05,381658
20231028T04,397913
20231028T03,415695
20231028T02,429991
20231028T01,440148
20231028T00,446766
20231027T23,450775
20231027T22,455535
20231027T21,456353
20231027T20,453376
20231027T19,450776
20231027T18,448564
20231027T17,444246
20231027T16,437279
20231027T15,428564
20231027T14,418361
20231027T13,409337
20231027T12,397148
20231027T11,375816
20231027T10,358755
20231027T09,353195
20231027T08,354804
20231027T07,361712
20231027T06,373277
20231027T05,387699
20231027T04,407515
20231027T03,426752
20231027T02,442775
20231027T01,453293
20231027T00,459043
20231026T23,458033
20231026T22,457657
20231026T21,455082
20231026T20,449752
20231026T19,445779
20231026T18,440900
20231026T17,435244
20231026T16,429692
20231026T15,423449
20231026T14,415518
20231026T13,408582
20231026T12,398259
20231026T11,376352
20231026T10,356878
20231026T09,349793
20231026T08,351445
20231026T07,357381
20231026T06,368858
20231026T05,383683
20231026T04,401707
20231026T03,422091
20231026T02,439976
20231026T01,450299
20231026T00,455565
20231025T23,454772
20231025T22,452871
20231025T21,448796
20231025T20,445511
20231025T19,440434
20231025T18,437356
20231025T17,429426
20231025T16,424941
20231025T15,419785
20231025T14,414428
20231025T13,409518
20231025T12,399691
20231025T11,377674
20231025T10,358525
20231025T09,351634
20231025T08,352407
20231025T07,356702
20231025T06,371215
20231025T05,387537
20231025T04,420859
20231025T03,443412
20231025T02,463760
20231025T01,477241
20231025T00,483245
20231024T23,480655
20231024T22,476593
20231024T21,470181
20231024T20,463263
