,Date
0,1991-02-01
1,1991-03-01
2,1991-04-01
3,1991-05-01
4,1991-06-01
5,1991-07-01
6,1991-08-01
7,1991-09-01
8,1991-10-01
9,1991-11-01
10,1991-12-01
11,1992-01-01
12,1992-02-01
13,1992-03-01
14,1992-04-01
15,1992-05-01
16,1992-06-01
17,1992-07-01
18,1992-08-01
19,1992-09-01
20,1992-10-01
21,1992-11-01
22,1992-12-01
23,1993-01-01
24,1993-02-01
25,1993-03-01
26,1993-04-01
27,1993-05-01
28,1993-06-01
29,1993-07-01
30,1993-08-01
31,1993-09-01
32,1993-10-01
33,1993-11-01
34,1993-12-01
35,1994-01-01
36,1994-02-01
37,1994-03-01
38,1994-04-01
39,1994-05-01
40,1994-06-01
41,1994-07-01
42,1994-08-01
43,1994-09-01
44,1994-10-01
45,1994-11-01
46,1994-12-01
47,1995-01-01
48,1995-02-01
49,1995-03-01
50,1995-04-01
51,1995-05-01
52,1995-06-01
53,1995-07-01
54,1995-08-01
55,1995-09-01
56,1995-10-01
57,1995-11-01
58,1995-12-01
59,1996-01-01
60,1996-02-01
61,1996-03-01
62,1996-04-01
63,1996-05-01
64,1996-06-01
65,1996-07-01
66,1996-08-01
67,1996-09-01
68,1996-10-01
69,1996-11-01
70,1996-12-01
71,1997-01-01
72,1997-02-01
73,1997-03-01
74,1997-04-01
75,1997-05-01
76,1997-06-01
77,1997-07-01
78,1997-08-01
79,1997-09-01
80,1997-10-01
81,1997-11-01
82,1997-12-01
83,1998-01-01
84,1998-02-01
85,1998-03-01
86,1998-04-01
87,1998-05-01
88,1998-06-01
89,1998-07-01
90,1998-08-01
91,1998-09-01
92,1998-10-01
93,1998-11-01
94,1998-12-01
95,1999-01-01
96,1999-02-01
97,1999-03-01
98,1999-04-01
99,1999-05-01
100,1999-06-01
101,1999-07-01
102,1999-08-01
103,1999-09-01
104,1999-10-01
105,1999-11-01
106,1999-12-01
107,2000-01-01
108,2000-02-01
109,2000-03-01
110,2000-04-01
111,2000-05-01
112,2000-06-01
113,2000-07-01
114,2000-08-01
115,2000-09-01
116,2000-10-01
117,2000-11-01
118,2000-12-01
119,2001-01-01
120,2001-02-01
121,2001-03-01
122,2001-04-01
123,2001-05-01
124,2001-06-01
125,2001-07-01
126,2001-08-01
127,2001-09-01
128,2001-10-01
129,2001-11-01
130,2001-12-01
131,2002-01-01
132,2002-02-01
133,2002-03-01
134,2002-04-01
135,2002-05-01
136,2002-06-01
137,2002-07-01
138,2002-08-01
139,2002-09-01
140,2002-10-01
141,2002-11-01
142,2002-12-01
143,2003-01-01
144,2003-02-01
145,2003-03-01
146,2003-04-01
147,2003-05-01
148,2003-06-01
149,2003-07-01
150,2003-08-01
151,2003-09-01
152,2003-10-01
153,2003-11-01
154,2003-12-01
155,2004-01-01
156,2004-02-01
157,2004-03-01
158,2004-04-01
159,2004-05-01
160,2004-06-01
161,2004-07-01
162,2004-08-01
163,2004-09-01
164,2004-10-01
165,2004-11-01
166,2004-12-01
167,2005-01-01
168,2005-02-01
169,2005-03-01
170,2005-04-01
171,2005-05-01
172,2005-06-01
173,2005-07-01
174,2005-08-01
175,2005-09-01
176,2005-10-01
177,2005-11-01
178,2005-12-01
179,2006-01-01
180,2006-02-01
181,2006-03-01
182,2006-04-01
183,2006-05-01
184,2006-06-01
185,2006-07-01
186,2006-08-01
187,2006-09-01
188,2006-10-01
189,2006-11-01
190,2006-12-01
191,2007-01-01
192,2007-02-01
193,2007-03-01
194,2007-04-01
195,2007-05-01
196,2007-06-01
197,2007-07-01
198,2007-08-01
199,2007-09-01
200,2007-10-01
201,2007-11-01
202,2007-12-01
203,2008-01-01
204,2008-02-01
205,2008-03-01
206,2008-04-01
207,2008-05-01
208,2008-06-01
209,2008-07-01
210,2008-08-01
211,2008-09-01
212,2008-10-01
213,2008-11-01
214,2008-12-01
215,2009-01-01
216,2009-02-01
217,2009-03-01
218,2009-04-01
219,2009-05-01
220,2009-06-01
221,2009-07-01
222,2009-08-01
223,2009-09-01
224,2009-10-01
225,2009-11-01
226,2009-12-01
227,2010-01-01
228,2010-02-01
229,2010-03-01
230,2010-04-01
231,2010-05-01
232,2010-06-01
233,2010-07-01
234,2010-08-01
235,2010-09-01
236,2010-10-01
237,2010-11-01
238,2010-12-01
239,2011-01-01
240,2011-02-01
241,2011-03-01
242,2011-04-01
243,2011-05-01
244,2011-06-01
245,2011-07-01
246,2011-08-01
247,2011-09-01
248,2011-10-01
249,2011-11-01
250,2011-12-01
251,2012-01-01
252,2012-02-01
