,U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels per Day)
0,7301
1,7668
2,7796
3,8064
4,8139
5,8288
6,8496
7,8233
8,8023
9,8141
10,7965
11,8065
12,7618
13,7711
14,8004
15,8312
16,8279
17,8520
18,8680
19,8568
20,8310
21,8378
22,8167
23,8451
24,7701
25,8031
26,8128
27,8506
28,8420
29,8886
30,8942
31,8579
32,8305
33,8542
34,8240
35,8859
36,7653
37,8291
38,8305
39,8375
40,8661
41,8824
42,8642
43,8921
44,8518
45,8417
46,8384
47,8670
48,8099
49,8234
50,8532
51,8575
52,8706
53,8690
54,9023
55,8953
56,8557
57,8655
58,8677
59,8585
60,8227
61,8607
62,8655
63,8766
64,9078
65,9140
66,9143
67,9313
68,8687
69,8814
70,8829
71,8893
72,8414
73,8525
74,8602
75,8838
76,9042
77,9170
78,9192
79,9411
80,8926
81,9108
82,8946
83,9011
84,8705
85,8838
86,9024
87,9126
88,9179
89,9322
90,9357
91,9327
92,9015
93,9097
94,9055
95,9206
96,8813
97,8861
98,8994
99,9128
100,9278
101,9373
102,9534
103,9537
104,8915
105,9036
106,9115
107,9296
108,8839
109,8911
110,9054
111,9154
112,9308
113,9478
114,9607
115,9564
116,9236
117,9267
118,9244
119,9338
120,8886
121,9006
122,9178
123,9215
124,9434
125,9491
126,9640
127,9582
128,9254
129,9236
130,9229
131,9251
132,8810
133,8866
134,9066
135,9112
136,9251
137,9110
138,9150
139,9134
140,8497
141,9024
142,8904
143,8927
144,8623
145,8836
146,8903
147,9029
148,9084
149,9180
150,9260
151,9295
152,8911
153,8986
154,8906
155,8931
156,8520
157,8579
158,8793
159,9108
160,9162
161,9311
162,9301
163,9255
164,9112
165,9016
166,8816
167,8911
168,8370
169,8604
170,8799
171,8796
172,8817
173,9067
174,9031
175,8925
176,8744
177,8649
178,8537
179,8683
180,8190
181,8598
182,8582
183,8741
184,8979
185,8996
186,8810
187,9154
188,8561
189,8701
190,8483
191,8389
192,8331
193,8395
194,8641
195,8855
196,9033
197,9078
198,9146
199,9124
200,8946
201,8944
202,8923
203,8670
204,8273
205,8647
206,8697
207,8955
208,9023
209,9039
210,9249
211,9311
212,8822
213,9148
214,8921
215,8941
216,8639
217,8829
218,9057
219,9189
220,9262
221,9417
222,9470
223,9460
224,9289
225,9245
226,9112
227,9148
228,8653
229,9221
230,9373
231,9176
232,9417
233,9608
234,9578
235,9687
236,9484
237,9093
238,9233
239,9283
240,8507
241,9008
242,9325
243,9295
244,9550
245,9772
246,9595
247,9752
248,9378
249,9357
250,9110
251,9247
252,8788
253,8796
254,9465
255,9206
256,9515
257,9797
258,9640
259,9778
260,9153
261,9294
262,9290
263,9179
264,8778
265,9072
266,9184
267,9411
268,9497
269,9703
270,9533
271,9834
272,9198
273,9308
274,9209
275,8971
276,8724
277,9050
278,7779
279,5866
280,7198
281,8292
282,8460
283,8524
284,8541
285,8316
286,8001
287,7855
288,7723
289,7824
290,8553
291,8839
292,9081
293,9362
294,9297
295,9182
296,8932
297,9027
298,9021
299,8879
300,8062
301,8650
302,9005
303,8799
304,9119
305,9075
306,8812
307,9115
308,8847
309,8807
310,8827
311,8596
312,8282
313,8715
314,9007
315,8996
316,9105
317,9279
318,9013
319,9299
320,8832
321,9094
322,8845
323,8840
