,production,electricity,heating,cooling,Month,Year
6,6.40,9.31,935,8,Jan,1997
7,6.51,9.38,677,12,Feb,1997
8,6.45,8.26,557,31,Mar,1997
9,6.44,8.24,417,20,Apr,1997
10,6.47,8.05,207,82,May,1997
11,6.44,9.14,37,183,Jun,1997
12,6.41,10.01,10,308,Jul,1997
13,6.35,9.95,19,263,Aug,1997
14,6.49,9.73,68,165,Sep,1997
15,6.47,8.92,284,46,Oct,1997
16,6.46,8.64,604,11,Nov,1997
17,6.53,8.94,812,6,Dec,1997
18,6.54,9.19,769,12,Jan,1998
19,6.48,9.32,631,7,Feb,1998
20,6.41,8.60,603,11,Mar,1998
21,6.48,8.40,344,24,Apr,1998
22,6.35,8.62,128,135,May,1998
23,6.27,9.90,47,223,Jun,1998
24,6.19,10.59,5,345,Jul,1998
25,6.20,10.77,8,332,Aug,1998
26,5.79,10.37,38,207,Sep,1998
27,6.14,9.02,254,60,Oct,1998
28,6.14,8.74,495,22,Nov,1998
29,6.04,9.07,726,12,Dec,1998
30,5.96,9.63,857,12,Jan,1999
31,5.97,9.43,647,12,Feb,1999
32,5.88,8.84,648,14,Mar,1999
33,5.89,8.69,333,42,Apr,1999
34,5.87,8.68,154,95,May,1999
35,5.76,9.96,35,213,Jun,1999
36,5.80,10.98,7,364,Jul,1999
37,5.78,10.94,15,300,Aug,1999
38,5.80,10.30,66,150,Sep,1999
39,5.95,9.00,279,55,Oct,1999
40,5.96,8.87,423,19,Nov,1999
41,5.96,9.17,765,7,Dec,1999
42,5.78,9.72,883,9,Jan,2000
43,5.85,9.84,640,11,Feb,2000
44,5.92,8.91,498,28,Mar,2000
45,5.85,8.76,346,29,Apr,2000
46,5.85,9.15,126,135,May,2000
47,5.82,10.46,32,218,Jun,2000
48,5.74,10.73,14,283,Jul,2000
49,5.79,11.19,14,300,Aug,2000
50,5.76,10.59,75,154,Sep,2000
51,5.81,9.26,252,50,Oct,2000
52,5.83,9.27,617,10,Nov,2000
53,5.86,9.90,995,5,Dec,2000
54,5.80,10.49,928,4,Jan,2001
55,5.78,10.17,720,14,Feb,2001
56,5.88,9.12,663,13,Mar,2001
57,5.86,8.90,311,40,Apr,2001
58,5.83,8.94,123,118,May,2001
59,5.77,10.10,32,218,Jun,2001
60,5.75,10.65,10,301,Jul,2001
61,5.73,11.20,7,330,Aug,2001
62,5.71,10.32,74,138,Sep,2001
63,5.75,9.08,271,46,Oct,2001
64,5.88,8.87,411,22,Nov,2001
65,5.89,9.11,704,12,Dec,2001
66,5.87,9.85,785,10,Jan,2002
67,5.88,9.88,672,7,Feb,2002
68,5.89,9.07,629,18,Mar,2002
69,5.84,9.04,296,52,Apr,2002
70,5.91,9.13,195,90,May,2002
71,5.88,10.35,26,236,Jun,2002
72,5.75,11.37,4,362,Jul,2002
73,5.80,11.38,10,322,Aug,2002
74,5.41,10.81,43,195,Sep,2002
75,5.36,9.60,309,56,Oct,2002
76,5.62,9.21,567,12,Nov,2002
77,5.72,9.69,818,6,Dec,2002
78,5.76,10.30,948,5,Jan,2003
79,5.78,10.55,806,9,Feb,2003
80,5.80,9.30,580,25,Mar,2003
81,5.73,9.00,360,31,Apr,2003
82,5.66,9.12,176,108,May,2003
83,5.66,10.15,45,182,Jun,2003
84,5.50,11.26,5,331,Jul,2003
85,5.57,11.51,6,335,Aug,2003
86,5.61,10.68,67,152,Sep,2003
87,5.61,9.40,266,64,Oct,2003
88,5.55,9.21,489,23,Nov,2003
89,5.57,9.94,792,5,Dec,2003
90,5.58,10.41,968,7,Jan,2004
91,5.57,10.34,766,8,Feb,2004
92,5.62,9.42,497,29,Mar,2004
93,5.56,9.21,311,29,Apr,2004
94,5.56,9.45,116,135,May,2004
95,5.41,10.73,41,202,Jun,2004
96,5.48,11.25,9,295,Jul,2004
97,5.32,11.14,21,248,Aug,2004
98,5.08,10.75,53,171,Sep,2004
99,5.17,9.52,259,68,Oct,2004
100,5.42,9.45,497,19,Nov,2004
101,5.51,10.15,802,6,Dec,2004
102,5.45,10.39,855,11,Jan,2005
103,5.50,10.40,673,9,Feb,2005
104,5.60,9.66,647,14,Mar,2005
105,5.56,9.20,314,25,Apr,2005
106,5.60,9.22,192,83,May,2005
107,5.44,11.08,31,244,Jun,2005
108,5.25,11.93,4,365,Jul,2005
109,5.20,12.16,8,345,Aug,2005
110,4.21,11.44,43,209,Sep,2005
111,4.55,9.95,242,56,Oct,2005
112,4.86,9.53,473,21,Nov,2005
113,4.99,10.31,863,6,Dec,2005
114,5.05,10.24,688,14,Jan,2006
115,5.03,10.44,724,6,Feb,2006
116,5.03,9.74,602,21,Mar,2006
117,5.08,9.32,275,55,Apr,2006
118,5.15,9.66,143,109,May,2006
119,5.16,11.13,26,233,Jun,2006
120,5.09,12.12,3,382,Jul,2006
121,5.04,12.32,11,330,Aug,2006
122,5.03,10.98,87,134,Sep,2006
123,5.11,9.80,311,47,Oct,2006
124,5.06,9.63,475,15,Nov,2006
125,5.19,10.08,692,13,Dec,2006
126,5.11,10.53,840,12,Jan,2007
127,5.12,11.10,840,6,Feb,2007
128,5.12,9.73,500,31,Mar,2007
129,5.18,9.51,374,25,Apr,2007
130,5.21,9.78,118,118,May,2007
131,5.08,11.11,27,232,Jun,2007
132,5.04,11.73,6,307,Jul,2007
133,4.97,12.42,9,362,Aug,2007
134,4.90,11.60,50,187,Sep,2007
135,5.02,10.27,182,81,Oct,2007
136,5.03,9.88,522,18,Nov,2007
