Back to Contents,Data 1: U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels per Day)
Sourcekey,MGFUPUS2
Date,U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels per Day)
Jan-1945,1300
Feb-1945,1382
Mar-1945,1372
Apr-1945,1512
May-1945,1533
Jun-1945,1570
Jul-1945,1658
Aug-1945,1838
Sep-1945,1831
Oct-1945,1720
Nov-1945,1745
Dec-1945,1577
Jan-1946,1623
Feb-1946,1675
Mar-1946,1800
Apr-1946,2043
May-1946,2122
Jun-1946,2076
Jul-1946,2187
Aug-1946,2112
Sep-1946,2042
Oct-1946,2108
Nov-1946,2013
Dec-1946,1931
Jan-1947,1808
Feb-1947,1773
Mar-1947,1900
Apr-1947,2077
May-1947,2233
Jun-1947,2317
Jul-1947,2300
Aug-1947,2262
Sep-1947,2294
Oct-1947,2280
Nov-1947,2061
Dec-1947,2097
Jan-1948,1904
Feb-1948,1881
Mar-1948,2110
Apr-1948,2316
May-1948,2373
Jun-1948,2488
Jul-1948,2533
Aug-1948,2475
Sep-1948,2449
Oct-1948,2326
Nov-1948,2311
Dec-1948,2186
Jan-1949,1965
Feb-1949,1992
Mar-1949,2264
Apr-1949,2413
May-1949,2530
Jun-1949,2680
Jul-1949,2555
Aug-1949,2623
Sep-1949,2599
Oct-1949,2471
Nov-1949,2457
Dec-1949,2351
Jan-1950,2102
Feb-1950,2196
Mar-1950,2449
Apr-1950,2588
May-1950,2784
Jun-1950,2889
Jul-1950,2855
Aug-1950,2905
Sep-1950,2747
Oct-1950,2741
Nov-1950,2638
Dec-1950,2467
Jan-1951,2597
Feb-1951,2597
Mar-1951,2799
Apr-1951,2913
May-1951,3227
Jun-1951,3205
Jul-1951,3237
Aug-1951,3266
Sep-1951,3056
Oct-1951,3225
Nov-1951,2946
Dec-1951,2721
Jan-1952,2638
Feb-1952,2655
Mar-1952,2600
Apr-1952,3073
May-1952,3106
Jun-1952,3101
Jul-1952,3211
Aug-1952,3112
Sep-1952,3114
Oct-1952,3108
Nov-1952,2802
Dec-1952,2912
Jan-1953,2673
Feb-1953,2825
Mar-1953,2949
Apr-1953,3141
May-1953,3162
Jun-1953,3523
Jul-1953,3385
Aug-1953,3250
Sep-1953,3255
Oct-1953,3159
Nov-1953,3041
Dec-1953,2942
Jan-1954,2732
Feb-1954,2884
Mar-1954,3072
Apr-1954,3267
May-1954,3184
Jun-1954,3541
Jul-1954,3425
Aug-1954,3354
Sep-1954,3282
Oct-1954,3220
Nov-1954,3199
Dec-1954,3149
Jan-1955,2983
Feb-1955,3028
Mar-1955,3256
Apr-1955,3541
May-1955,3583
Jun-1955,3801
Jul-1955,3607
Aug-1955,3759
Sep-1955,3626
Oct-1955,3471
Nov-1955,3481
Dec-1955,3400
Jan-1956,3075
Feb-1956,3209
Mar-1956,3425
Apr-1956,3566
May-1956,3769
Jun-1956,4004
Jul-1956,3696
Aug-1956,3836
Sep-1956,3509
Oct-1956,3645
Nov-1956,3542
Dec-1956,3290
Jan-1957,3292
Feb-1957,3254
Mar-1957,3424
Apr-1957,3639
May-1957,3801
Jun-1957,3853
Jul-1957,3976
Aug-1957,3942
Sep-1957,3620
Oct-1957,3664
Nov-1957,3429
Dec-1957,3456
Jan-1958,3315
Feb-1958,3297
Mar-1958,3359
Apr-1958,3803
May-1958,3881
Jun-1958,4010
Jul-1958,4025
Aug-1958,3950
Sep-1958,3804
Oct-1958,3838
Nov-1958,3514
Dec-1958,3702
Jan-1959,3504
Feb-1959,3381
Mar-1959,3648
Apr-1959,3967
May-1959,3928
Jun-1959,4274
Jul-1959,4194
Aug-1959,4083
Sep-1959,4133
Oct-1959,3701
Nov-1959,3694
Dec-1959,3783
Jan-1960,3412
Feb-1960,3560
Mar-1960,3694
Apr-1960,4132
May-1960,3999
Jun-1960,4453
Jul-1960,4178
Aug-1960,4279
Sep-1960,4101
Oct-1960,3936
Nov-1960,4015
Dec-1960,3868
Jan-1961,3537
Feb-1961,3607
Mar-1961,3938
Apr-1961,3804
May-1961,4281
Jun-1961,4467
Jul-1961,4268
Aug-1961,4376
Sep-1961,4183
Oct-1961,3998
Nov-1961,4118
Dec-1961,3908
Jan-1962,3769
Feb-1962,3759
Mar-1962,4055
Apr-1962,4166
May-1962,4376
Jun-1962,4546
Jul-1962,4449
Aug-1962,4611
Sep-1962,4097
Oct-1962,4287
Nov-1962,4296
Dec-1962,3942
Jan-1963,3911
Feb-1963,3977
Mar-1963,4013
Apr-1963,4451
May-1963,4471
