"Table 2.2.A. Petroleum Liquids: Consumption for Electricity Generation,",,,,,
"by Sector, 2014-February 2024 (Thousand Barrels)",,,,,
,,Electric Power Sector,,,
Period,Total (all sectors),Electric Utilities,"Independent
Power Producers","Commercial
Sector","Industrial
Sector"
Annual Totals,,,,,
2014,"31,531","19,652","10,689",451,739
2015,"28,925","18,562","9,473",249,641
2016,"22,405","16,137","5,624",108,536
2017,"21,696","15,567","5,461",191,476
2018,"28,614","18,345","9,467",269,534
2019,"20,836","15,677","4,464",251,444
2020,"18,008","13,913","3,447",238,410
2021,"21,633","16,850","4,102",250,432
2022,"28,760","18,375","9,474",254,657
2023,"20,712","15,679","4,303",186,546
Year 2022,,,,,
January,"5,217","2,325","2,794",44,54
February,"2,067","1,239",768,16,43
March,"1,732","1,304",365,14,48
April,"1,408","1,098",250,17,43
May,"1,588","1,275",252,20,42
June,"1,704","1,286",351,20,46
July,"2,020","1,375",576,21,48
August,"1,896","1,301",537,19,39
Sept,"1,738","1,341",335,12,49
October,"1,814","1,370",387,14,43
November,"1,700","1,339",304,15,42
December,"5,876","3,121","2,553",42,160
Year 2023,,,,,
January,"1,789","1,405",303,21,59
February,"2,003","1,292",651,17,43
March,"1,713","1,280",365,16,52
April,"1,578","1,214",307,NM,46
May,"1,699","1,284",358,16,42
June,"1,610","1,291",258,12,49
July,"1,687","1,234",393,14,46
August,"1,754","1,387",307,15,45
Sept,"1,643","1,231",361,13,39
October,"1,735","1,329",350,14,42
November,"1,723","1,335",330,16,42
December,"1,779","1,396",320,22,41
Year 2024,,,,,
January,"2,782","1,992",710,24,56
February,"1,423","1,144",211,13,55
Year to Date,,,,,
2022,"7,284","3,564","3,563",61,97
2023,"3,791","2,697",954,38,103
2024,"4,205","3,136",921,37,111
Rolling 12 Months Ending in February,,,,,
2023,"25,267","17,508","6,865",231,663
2024,"21,126","16,117","4,270",NM,555
"Notes: Beginning with the collection of Form EIA-923 in January 2008, the methodology to allocate total fuel consumption for electricity generation and consumption for useful thermal output was changed.
The new methodology was retroactively applied to 2004-2007 data. See the Technical Notes (Appendix C) for further information. See Glossary for definitions.
Values for 2022 and prior years are final. Values for 2023 and 2024 are preliminary. See Technical Notes for a discussion of the sample design for the Form EIA-923 and predecessor forms.
Petroleum Liquids includes distillate and residual fuel oils, jet fuel, kerosene, waste oil, and beginning in 2011, propane. Prior to 2011 propane was included in Other Gases.
See the Technical Notes for fuel conversion factors.
Totals may not equal sum of components because of independent rounding.
Sources: U.S. Energy Information Administration, Form EIA-906, Power Plant Report; U.S. Energy Information Administration, Form EIA-920 Combined Heat and Power Plant Report, and predecessor forms.
Beginning with 2008 data, the Form EIA-923, Power Plant Operations Report, replaced the following: Form EIA-906, Power Plant Report; Form EIA-920, Combined Heat and Power Plant Report.",,,,,
