Date,Value
1-Dec-23,335.8
1-Nov-23,335.66
1-Oct-23,335.51
1-Sep-23,335.34
1-Aug-23,335.16
1-Jul-23,334.99
1-Jun-23,334.83
1-May-23,334.69
1-Apr-23,334.57
1-Mar-23,334.44
1-Feb-23,334.33
1-Jan-23,334.23
1-Dec-22,334.11
1-Nov-22,333.97
1-Oct-22,333.81
1-Sep-22,333.64
1-Aug-22,333.46
1-Jul-22,333.29
1-Jun-22,333.13
1-May-22,333.0
1-Apr-22,332.87
1-Mar-22,332.74
1-Feb-22,332.67
1-Jan-22,332.66
1-Dec-21,332.59
1-Nov-21,332.49
1-Oct-21,332.39
1-Sep-21,332.29
1-Aug-21,332.18
1-Jul-21,332.03
1-Jun-21,331.93
1-May-21,331.86
1-Apr-21,331.79
1-Mar-21,331.73
1-Feb-21,331.72
1-Jan-21,331.78
1-Dec-20,331.82
1-Nov-20,331.81
1-Oct-20,331.75
1-Sep-20,331.66
1-Aug-20,331.59
1-Jul-20,331.51
1-Jun-20,331.45
1-May-20,331.43
1-Apr-20,331.45
1-Mar-20,329.34
1-Feb-20,329.24
1-Jan-20,329.14
1-Dec-19,329.02
1-Nov-19,328.89
1-Oct-19,328.74
1-Sep-19,328.58
1-Aug-19,328.41
1-Jul-19,328.24
1-Jun-19,328.1
1-May-19,327.96
1-Apr-19,327.84
1-Mar-19,327.73
1-Feb-19,327.64
1-Jan-19,327.54
1-Dec-18,327.43
1-Nov-18,327.31
1-Oct-18,327.17
1-Sep-18,327.01
1-Aug-18,326.85
1-Jul-18,326.69
1-Jun-18,326.53
1-May-18,326.39
1-Apr-18,326.26
1-Mar-18,326.14
1-Feb-18,326.03
1-Jan-18,325.93
1-Dec-17,325.8
1-Nov-17,325.66
1-Oct-17,325.51
1-Sep-17,325.34
1-Aug-17,325.16
1-Jul-17,324.99
1-Jun-17,324.8
1-May-17,324.64
1-Apr-17,324.48
1-Mar-17,324.34
1-Feb-17,324.21
1-Jan-17,324.08
1-Dec-16,323.91
1-Nov-16,323.74
1-Oct-16,323.56
1-Sep-16,323.35
1-Aug-16,323.14
1-Jul-16,322.94
1-Jun-16,322.73
1-May-16,322.55
1-Apr-16,322.37
1-Mar-16,322.2
1-Feb-16,322.04
1-Jan-16,321.86
1-Dec-15,321.71
1-Nov-15,321.5
1-Oct-15,321.31
1-Sep-15,321.08
1-Aug-15,320.86
1-Jul-15,320.64
1-Jun-15,320.43
1-May-15,320.24
1-Apr-15,320.06
1-Mar-15,319.89
1-Feb-15,319.73
1-Jan-15,319.59
1-Dec-14,319.41
1-Nov-14,319.22
1-Oct-14,319.01
1-Sep-14,318.77
1-Aug-14,318.54
1-Jul-14,318.3
1-Jun-14,318.11
1-May-14,317.91
1-Apr-14,317.73
1-Mar-14,317.56
1-Feb-14,317.41
1-Jan-14,317.24
1-Dec-13,317.06
1-Nov-13,316.88
1-Oct-13,316.66
1-Sep-13,316.43
1-Aug-13,316.2
1-Jul-13,315.99
1-Jun-13,315.81
1-May-13,315.61
1-Apr-13,315.46
1-Mar-13,315.3
1-Feb-13,315.16
1-Jan-13,315.04
1-Dec-12,314.87
1-Nov-12,314.7
1-Oct-12,314.5
1-Sep-12,314.28
1-Aug-12,314.05
1-Jul-12,313.83
1-Jun-12,313.63
1-May-12,313.45
1-Apr-12,313.28
1-Mar-12,313.11
1-Feb-12,312.93
1-Jan-12,312.79
1-Dec-11,312.59
1-Nov-11,312.4
1-Oct-11,312.21
1-Sep-11,312.0
1-Aug-11,311.76
1-Jul-11,311.56
1-Jun-11,311.35
1-May-11,311.18
1-Apr-11,311.01
1-Mar-11,310.83
1-Feb-11,310.69
1-Jan-11,310.54
1-Dec-10,310.35
1-Nov-10,310.17
1-Oct-10,309.99
1-Sep-10,309.76
1-Aug-10,309.54
1-Jul-10,309.32
1-Jun-10,309.12
1-May-10,308.94
1-Apr-10,308.76
1-Mar-10,308.57
1-Feb-10,308.38
1-Jan-10,308.17
1-Dec-09,307.95
1-Nov-09,307.76
1-Oct-09,307.52
1-Sep-09,307.27
1-Aug-09,307.01
1-Jul-09,306.77
1-Jun-09,306.54
1-May-09,306.32
