,ds, Unnamed: 0,U.S. Exports of Finished Petroleum Products Thousand Barrels per Day,Month,Year,U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels),y, U.S. Electricity Consumption (billion kilowatthours per day),U.S. Heating Degree Days (degree days),U.S. Cooling Degree Days (degree days)
0,2015-05-01,99,2837,5,2015,287136.0,9.47,9.65,119,126
1,2015-06-01,98,2705,6,2015,282512.0,9.36,11.28,24,254
2,2015-07-01,97,2972,7,2015,293579.0,9.44,12.13,6,336
3,2015-08-01,96,2588,8,2015,293263.0,9.41,12.09,11,315
4,2015-09-01,95,2803,9,2015,278658.0,9.48,11.5,32,223
5,2015-10-01,94,2664,10,2015,286585.0,9.4,9.92,228,76
6,2015-11-01,93,2938,11,2015,273349.0,9.33,9.59,446,30
7,2015-12-01,92,3125,12,2015,283575.0,9.27,9.99,582,26
8,2016-01-01,91,2664,1,2016,268252.0,9.2,10.74,872,7
9,2016-02-01,90,2724,2,2016,267417.0,9.06,10.62,630,11
10,2016-03-01,89,2926,3,2016,290568.0,9.1,9.59,451,35
11,2016-04-01,88,2914,4,2016,275266.0,8.87,9.35,310,42
12,2016-05-01,87,3097,5,2016,291924.0,8.83,9.55,151,97
13,2016-06-01,86,3294,6,2016,288238.0,8.68,11.39,21,270
14,2016-07-01,85,3051,7,2016,296905.0,8.66,12.41,6,383
15,2016-08-01,84,2817,8,2016,300300.0,8.69,12.71,6,362
16,2016-09-01,83,3087,9,2016,284512.0,8.54,11.61,39,219
17,2016-10-01,82,2742,10,2016,281893.0,8.8,9.94,198,86
18,2016-11-01,81,3099,11,2016,276997.0,8.9,9.62,419,25
19,2016-12-01,80,3248,12,2016,287779.0,8.82,10.4,784,16
20,2017-01-01,79,2992,1,2017,263708.0,8.87,10.65,768,17
21,2017-02-01,78,3360,2,2017,252217.0,9.09,10.24,548,21
22,2017-03-01,77,3167,3,2017,289083.0,9.16,9.78,545,32
23,2017-04-01,76,3291,4,2017,278855.0,9.1,9.47,248,55
24,2017-05-01,75,3287,5,2017,296044.0,9.19,9.78,154,105
25,2017-06-01,74,3699,6,2017,293168.0,9.11,11.35,25,241
26,2017-07-01,73,3641,7,2017,297452.0,9.25,12.27,5,363
27,2017-08-01,72,3163,8,2017,302303.0,9.25,12.03,15,291
28,2017-09-01,71,2921,9,2017,281327.0,9.52,11.1,44,184
29,2017-10-01,70,3535,10,2017,290071.0,9.67,10.03,193,77
30,2017-11-01,69,3553,11,2017,273314.0,10.08,9.83,492,27
31,2017-12-01,68,3524,12,2017,286643.0,9.98,10.47,800,10
32,2018-01-01,67,3158,1,2018,272415.0,10.0,11.51,899,7
33,2018-02-01,66,3264,2,2018,246292.0,10.26,10.85,627,23
34,2018-03-01,65,3418,3,2018,293401.0,10.47,9.95,611,21
35,2018-04-01,64,3645,4,2018,276179.0,10.5,9.65,412,32
36,2018-05-01,63,3488,5,2018,294973.0,10.43,10.16,86,173
37,2018-06-01,62,3405,6,2018,293911.0,10.64,11.67,26,269
38,2018-07-01,61,3478,7,2018,298852.0,10.9,12.52,4,376
39,2018-08-01,60,3193,8,2018,303123.0,11.39,12.72,7,351
40,2018-09-01,59,3206,9,2018,274577.0,11.44,11.64,38,230
41,2018-10-01,58,3565,10,2018,288109.0,11.51,10.35,254,69
42,2018-11-01,57,3706,11,2018,278712.0,11.89,10.08,595,18
43,2018-12-01,56,3734,12,2018,284535.0,11.94,10.47,733,11
44,2019-01-01,55,3336,1,2019,272130.0,11.87,11.0,861,9
45,2019-02-01,54,3335,2,2019,254011.0,11.65,10.96,721,18
46,2019-03-01,53,3143,3,2019,284706.0,11.91,10.12,634,18
