,ds,y,Capacity
0,2023-11-24,13200,18272
1,2023-11-17,13200,18272
2,2023-11-10,13200,18272
3,2023-11-03,13200,18272
4,2023-10-27,13200,18272
5,2023-10-20,13200,18272
6,2023-10-13,13200,18272
7,2023-10-06,13200,18272
8,2023-09-29,12900,18270
9,2023-09-22,12900,18270
10,2023-09-15,12900,18270
11,2023-09-08,12900,18270
12,2023-09-01,12800,18270
13,2023-08-25,12800,18270
14,2023-08-18,12800,18270
15,2023-08-11,12700,18270
16,2023-08-04,12600,18270
17,2023-07-28,12200,18270
18,2023-07-21,12200,18270
19,2023-07-14,12300,18270
20,2023-07-07,12300,18270
21,2023-06-30,12400,18270
22,2023-06-23,12200,18270
23,2023-06-16,12200,18270
24,2023-06-09,12400,18270
25,2023-06-02,12400,18031
26,2023-05-26,12200,18031
27,2023-05-19,12300,18031
28,2023-05-12,12200,18031
29,2023-05-05,12300,18031
30,2023-04-28,12300,18061
31,2023-04-21,12200,18061
32,2023-04-14,12300,18061
33,2023-04-07,12300,18061
34,2023-03-31,12200,18004
35,2023-03-24,12200,18004
36,2023-03-17,12300,18004
37,2023-03-10,12200,18004
38,2023-03-03,12200,18002
39,2023-02-24,12300,18002
40,2023-02-17,12300,18002
41,2023-02-10,12300,18002
42,2023-02-03,12300,18015
43,2023-01-27,12200,18015
44,2023-01-20,12200,18015
45,2023-01-13,12200,18015
46,2023-01-06,12200,18015
47,2022-12-30,12100,18022
48,2022-12-23,12000,18022
49,2022-12-16,12100,18022
50,2022-12-09,12100,18022
51,2022-12-02,12200,17962
52,2022-11-25,12100,17962
53,2022-11-18,12100,17962
54,2022-11-11,12100,17962
55,2022-11-04,12100,17962
56,2022-10-28,11900,17962
57,2022-10-21,12000,17962
58,2022-10-14,12000,17962
59,2022-10-07,11900,17962
60,2022-09-30,12000,17944
61,2022-09-23,12000,17944
62,2022-09-16,12100,17944
63,2022-09-09,12100,17944
64,2022-09-02,12100,17944
65,2022-08-26,12100,17944
66,2022-08-19,12000,17944
67,2022-08-12,12100,17944
68,2022-08-05,12200,17944
69,2022-07-29,12100,17944
70,2022-07-22,12100,17944
71,2022-07-15,11900,17944
72,2022-07-08,12000,17944
73,2022-07-01,12100,17944
74,2022-06-24,12100,17944
75,2022-06-17,12000,17944
76,2022-06-10,12000,17944
77,2022-06-03,11900,17944
78,2022-05-27,11900,17941
79,2022-05-20,11900,17941
80,2022-05-13,11900,17941
81,2022-05-06,11800,17941
82,2022-04-29,11900,17941
83,2022-04-22,11900,17941
84,2022-04-15,11900,17941
85,2022-04-08,11800,17941
86,2022-04-01,11800,17877
87,2022-03-25,11700,17877
88,2022-03-18,11600,17877
89,2022-03-11,11600,17877
90,2022-03-04,11600,17877
91,2022-02-25,11600,18132
92,2022-02-18,11600,18132
93,2022-02-11,11600,18132
94,2022-02-04,11600,18132
95,2022-01-28,11500,18132
96,2022-01-21,11600,18132
97,2022-01-14,11700,18132
98,2022-01-07,11700,18132
99,2021-12-31,11800,18130
100,2021-12-24,11800,18130
101,2021-12-17,11600,18130
102,2021-12-10,11700,18130
103,2021-12-03,11700,18130
104,2021-11-26,11600,18130
105,2021-11-19,11500,18130
106,2021-11-12,11400,18130
107,2021-11-05,11500,18130
108,2021-10-29,11500,18129
109,2021-10-22,11300,18129
110,2021-10-15,11300,18129
111,2021-10-08,11400,18129
112,2021-10-01,11300,18128
113,2021-09-24,11100,18128
114,2021-09-17,10600,18128
115,2021-09-10,10100,18128
116,2021-09-03,10000,18128
117,2021-08-27,11500,18128
118,2021-08-20,11400,18128
119,2021-08-13,11400,18128
120,2021-08-06,11300,18128
121,2021-07-30,11200,18128
122,2021-07-23,11200,18128
123,2021-07-16,11400,18128
124,2021-07-09,11400,18128
125,2021-07-02,11300,18090
126,2021-06-25,11100,18090
127,2021-06-18,11100,18090
128,2021-06-11,11200,18090
129,2021-06-04,11000,18090
130,2021-05-28,10800,18090
131,2021-05-21,11000,18090
132,2021-05-14,11000,18090
133,2021-05-07,11000,18090
134,2021-04-30,10900,18143
135,2021-04-23,10900,18143
136,2021-04-16,11000,18143
137,2021-04-09,11000,18143
138,2021-04-02,10900,18386
139,2021-03-26,11100,18386
140,2021-03-19,11000,18386
141,2021-03-12,10900,18386
142,2021-03-05,10900,18386
143,2021-02-26,10000,18388
144,2021-02-19,9700,18388
145,2021-02-12,10800,18388
146,2021-02-05,11000,18388
147,2021-01-29,10900,18386
148,2021-01-22,10900,18386
149,2021-01-15,11000,18386
150,2021-01-08,11000,18386
151,2021-01-01,11000,18386
152,2020-12-25,11000,18386
153,2020-12-18,11000,18386
154,2020-12-11,11000,18386
155,2020-12-04,11100,18386
156,2020-11-27,11100,18622
157,2020-11-20,11000,18622
158,2020-11-13,10900,18622
159,2020-11-06,10500,18622
160,2020-10-30,10500,18622
161,2020-10-23,11100,18622
162,2020-10-16,9900,18622
163,2020-10-09,10500,18622
164,2020-10-02,11000,18622
165,2020-09-25,10700,18622
166,2020-09-18,10700,18622
167,2020-09-11,10900,18622
168,2020-09-04,10000,18622
169,2020-08-28,9700,18641
170,2020-08-21,10800,18641
171,2020-08-14,10700,18641
172,2020-08-07,10700,18641
173,2020-07-31,11000,18976
174,2020-07-24,11100,18976
175,2020-07-17,11100,18976
176,2020-07-10,11000,18976
177,2020-07-03,11000,18976
178,2020-06-26,11000,18976
179,2020-06-19,11000,18976
180,2020-06-12,10500,18976
