Week of,Weekly U.S. Days of Supply of Crude Oil excluding SPR Number of Days
11/24/2023,28.9
11/17/2023,29.2
11/10/2023,28.8
11/3/2023,28.5
10/27/2023,27.6
10/20/2023,27.4
10/13/2023,27
10/6/2023,26.9
09/29/2023,25.6
09/22/2023,25.3
09/15/2023,25.2
09/8/2023,25.2
09/1/2023,25
08/25/2023,25.4
08/18/2023,26
08/11/2023,26.5
08/4/2023,26.9
07/28/2023,26.6
07/21/2023,27.8
07/14/2023,27.9
07/7/2023,28
06/30/2023,27.7
06/23/2023,27.5
06/16/2023,28.1
06/9/2023,28.5
06/2/2023,28.3
05/26/2023,28.7
05/19/2023,28.7
05/12/2023,29.5
05/5/2023,29.3
04/28/2023,29.2
04/21/2023,29.3
04/14/2023,29.7
04/7/2023,30.2
03/31/2023,30.2
03/24/2023,30.8
03/17/2023,31.7
03/10/2023,31.8
03/3/2023,31.9
02/24/2023,31.8
02/17/2023,31.7
02/10/2023,31.2
02/3/2023,30.2
01/27/2023,30.5
01/20/2023,30.8
01/13/2023,30.1
01/6/2023,29
12/30/2022,27.1
12/23/2022,25.8
12/16/2022,25.6
12/9/2022,25.8
12/2/2022,25.2
11/25/2022,25.7
11/18/2022,26.8
11/11/2022,27.4
11/4/2022,28
10/28/2022,28
10/21/2022,28.1
10/14/2022,27.8
10/7/2022,27.6
09/30/2022,26.8
09/23/2022,26.9
09/16/2022,26.7
09/9/2022,26.7
09/2/2022,26.4
08/26/2022,25.5
08/19/2022,25.9
08/12/2022,26.2
08/5/2022,26.7
07/29/2022,26.3
07/22/2022,25.8
07/15/2022,25.8
07/8/2022,25.9
07/1/2022,25.8
06/24/2022,25.3
06/17/2022,25.7
06/10/2022,25.8
06/3/2022,25.8
05/27/2022,25.9
05/20/2022,26.5
05/13/2022,26.8
05/6/2022,27.1
04/29/2022,26.7
04/22/2022,26.4
04/15/2022,26.2
04/8/2022,26.7
04/1/2022,26
03/25/2022,26.1
03/18/2022,26.6
03/11/2022,27
03/4/2022,27
02/25/2022,27.1
02/18/2022,27.3
02/11/2022,26.9
02/4/2022,26.6
01/28/2022,26.9
01/21/2022,26.7
01/14/2022,26.4
01/7/2022,26.3
12/31/2021,26.5
12/24/2021,26.7
12/17/2021,26.9
12/10/2021,27.3
12/3/2021,27.7
11/26/2021,27.9
11/19/2021,28.3
11/12/2021,28.5
11/5/2021,28.8
10/29/2021,28.9
10/22/2021,28.3
10/15/2021,27.9
10/8/2021,27.7
10/1/2021,27.6
09/24/2021,28.2
09/17/2021,27.6
09/10/2021,27.5
09/3/2021,27.2
08/27/2021,26.5
08/20/2021,27
08/13/2021,27.2
08/6/2021,27.4
07/30/2021,27.5
07/23/2021,27.2
07/16/2021,27.3
07/9/2021,27.1
07/2/2021,27.5
06/25/2021,28
06/18/2021,28.7
06/11/2021,29.6
06/4/2021,30.6
05/28/2021,31.4
