Week of,Weekly U. S. Operable Crude Oil Distillation Capacity Thousand Barrels per Calendar Day
11/24/2023,18272
11/17/2023,18272
11/10/2023,18272
11/3/2023,18272
10/27/2023,18272
10/20/2023,18272
10/13/2023,18272
10/6/2023,18272
09/29/2023,18270
09/22/2023,18270
09/15/2023,18270
09/8/2023,18270
09/1/2023,18270
08/25/2023,18270
08/18/2023,18270
08/11/2023,18270
08/4/2023,18270
07/28/2023,18270
07/21/2023,18270
07/14/2023,18270
07/7/2023,18270
06/30/2023,18270
06/23/2023,18270
06/16/2023,18270
06/9/2023,18270
06/2/2023,18031
05/26/2023,18031
05/19/2023,18031
05/12/2023,18031
05/5/2023,18031
04/28/2023,18061
04/21/2023,18061
04/14/2023,18061
04/7/2023,18061
03/31/2023,18004
03/24/2023,18004
03/17/2023,18004
03/10/2023,18004
03/3/2023,18002
02/24/2023,18002
02/17/2023,18002
02/10/2023,18002
02/3/2023,18015
01/27/2023,18015
01/20/2023,18015
01/13/2023,18015
01/6/2023,18015
12/30/2022,18022
12/23/2022,18022
12/16/2022,18022
12/9/2022,18022
12/2/2022,17962
11/25/2022,17962
11/18/2022,17962
11/11/2022,17962
11/4/2022,17962
10/28/2022,17962
10/21/2022,17962
10/14/2022,17962
10/7/2022,17962
09/30/2022,17944
09/23/2022,17944
09/16/2022,17944
09/9/2022,17944
09/2/2022,17944
08/26/2022,17944
08/19/2022,17944
08/12/2022,17944
08/5/2022,17944
07/29/2022,17944
07/22/2022,17944
07/15/2022,17944
07/8/2022,17944
07/1/2022,17944
06/24/2022,17944
06/17/2022,17944
06/10/2022,17944
06/3/2022,17944
05/27/2022,17941
05/20/2022,17941
05/13/2022,17941
05/6/2022,17941
04/29/2022,17941
04/22/2022,17941
04/15/2022,17941
04/8/2022,17941
04/1/2022,17877
03/25/2022,17877
03/18/2022,17877
03/11/2022,17877
03/4/2022,17877
02/25/2022,18132
02/18/2022,18132
02/11/2022,18132
02/4/2022,18132
01/28/2022,18132
01/21/2022,18132
01/14/2022,18132
01/7/2022,18132
12/31/2021,18130
12/24/2021,18130
12/17/2021,18130
12/10/2021,18130
12/3/2021,18130
11/26/2021,18130
11/19/2021,18130
11/12/2021,18130
11/5/2021,18130
10/29/2021,18129
10/22/2021,18129
10/15/2021,18129
10/8/2021,18129
10/1/2021,18128
09/24/2021,18128
09/17/2021,18128
09/10/2021,18128
09/3/2021,18128
08/27/2021,18128
08/20/2021,18128
08/13/2021,18128
08/6/2021,18128
07/30/2021,18128
07/23/2021,18128
07/16/2021,18128
07/9/2021,18128
07/2/2021,18090
06/25/2021,18090
06/18/2021,18090
06/11/2021,18090
06/4/2021,18090
05/28/2021,18090
05/21/2021,18090
05/14/2021,18090
05/7/2021,18090
04/30/2021,18143
04/23/2021,18143
04/16/2021,18143
04/9/2021,18143
04/2/2021,18386
03/26/2021,18386
03/19/2021,18386
03/12/2021,18386
03/5/2021,18386
02/26/2021,18388
02/19/2021,18388
02/12/2021,18388
02/5/2021,18388
01/29/2021,18386
01/22/2021,18386
01/15/2021,18386
01/8/2021,18386
01/1/2021,18386
12/25/2020,18386
12/18/2020,18386
12/11/2020,18386
12/4/2020,18386
11/27/2020,18622
11/20/2020,18622
11/13/2020,18622
11/6/2020,18622
10/30/2020,18622
10/23/2020,18622
10/16/2020,18622
10/9/2020,18622
10/2/2020,18622
09/25/2020,18622
09/18/2020,18622
09/11/2020,18622
09/4/2020,18622
08/28/2020,18641
08/21/2020,18641
08/14/2020,18641
08/7/2020,18641
07/31/2020,18976
07/24/2020,18976
07/17/2020,18976
07/10/2020,18976
07/3/2020,18976
06/26/2020,18976
06/19/2020,18976
06/12/2020,18976
06/5/2020,18976
05/29/2020,18976
05/22/2020,18976
05/15/2020,18976
05/8/2020,18976
05/1/2020,18974
04/24/2020,18974
04/17/2020,18974
04/10/2020,18974
04/3/2020,18808
03/27/2020,18808
03/20/2020,18808
03/13/2020,18808
03/6/2020,18808
02/28/2020,18808
02/21/2020,18808
02/14/2020,18808
02/7/2020,18808
01/31/2020,18808
01/24/2020,18808
01/17/2020,18808
01/10/2020,18808
01/3/2020,18808
12/27/2019,18808
12/20/2019,18808
12/13/2019,18808
12/6/2019,18808
11/29/2019,18808
11/22/2019,18808
11/15/2019,18808
11/8/2019,18808
11/1/2019,18802
10/25/2019,18802
10/18/2019,18802
10/11/2019,18802
10/4/2019,18802
09/27/2019,18802
09/20/2019,18802
09/13/2019,18802
09/6/2019,18802
08/30/2019,18802
08/23/2019,18802
08/16/2019,18802
08/9/2019,18802
08/2/2019,18802
07/26/2019,18802
07/19/2019,18802
07/12/2019,18802
07/5/2019,18802
06/28/2019,18807
06/21/2019,18807
06/14/2019,18807
06/7/2019,18807
05/31/2019,18767
05/24/2019,18767
05/17/2019,18767
05/10/2019,18767
05/3/2019,18762
04/26/2019,18762
04/19/2019,18762
04/12/2019,18762
04/5/2019,18762
