"STUB_1","11/17/23","11/10/23","Difference","Percent Change","11/18/22","Difference","Percent Change"
"Crude Oil","799.328","790.628","8.701","1.100","822.183","-22.854","-2.800"
"Commercial (Excluding SPR)","448.054","439.354","8.701","2.000","431.665","16.390","3.800"
"Strategic Petroleum Reserve (SPR)","351.274","351.274","0.000","0.000","390.518","-39.244","-10.000"
"Total Motor Gasoline","216.420","215.670","0.749","0.300","210.998","5.421","2.600"
"Reformulated","0.023","0.020","0.003","15.000","0.022","0.001","4.500"
"Conventional","15.710","15.304","0.406","2.700","16.665","-0.955","-5.700"
"Blending Components","200.686","200.346","0.340","0.200","194.311","6.375","3.300"
"Fuel Ethanol","21.652","20.954","0.698","3.300","22.829","-1.177","-5.200"
"Kerosene-Type Jet Fuel","37.248","36.720","0.528","1.400","37.430","-0.182","-0.500"
"Distillate Fuel Oil","105.561","106.579","-1.018","-1.000","109.101","-3.540","-3.200"
"15 ppm sulfur and Under","96.293","96.797","-0.504","-0.500","97.441","-1.148","-1.200"
"> 15 ppm to 500 ppm sulfur","2.085","2.420","-0.335","-13.800","2.280","-0.195","-8.500"
"> 500 ppm sulfur","7.182","7.362","-0.179","-2.400","9.379","-2.197","-23.400"
"Residual Fuel Oil","27.658","26.861","0.798","3.000","29.721","-2.062","-6.900"
"Propane/Propylene","99.272","99.742","-0.469","-0.500","89.029","10.244","11.500"
"Other Oils","312.264","317.788","-5.525","-1.700","289.316","22.948","7.900"
"Unfinished Oils","87.583","89.968","-2.385","-2.700","84.296","3.287","3.900"
"Total Stocks (Including SPR)","1,619.403","1,614.940","4.462","0.300","1,610.605","8.798","0.500"
"Total Stocks (Excluding SPR)","1,268.129","1,263.666","4.462","0.400","1,220.087","48.042","3.900"
"STUB_1","STUB_2","11/17/23","11/10/23","Difference","11/18/22","Difference","11/17/23","11/18/22","Percent Change","11/17/23","11/18/22","Percent Change"
"Crude Oil Supply ","(1)     Domestic Production","13,200","13,200","0","12,100","1,100","13,200","12,050","9.5","12,513","11,896","5.2"
"Crude Oil Supply ","(2)        Alaska","414","433","-18","448","-33","429","447","-4.0","426","438","-2.6"
"Crude Oil Supply ","(3)        Lower 48","12,800","12,800","0","11,700","1,100","12,800","11,650","9.9","12,102","11,481","5.4"
"Crude Oil Supply ","(4)     Transfers to Crude Oil Supply","720","715","4","�","720","�","�","0.0","31","�","0.0"
"Crude Oil Supply ","(5)        Alaskan NGL production","38","37","0","�","38","�","�","0.0","2","�","0.0"
"Crude Oil Supply ","(6)        Natural Gasoline, Condensate, and Unfinished Oils","682","678","4","�","682","�","�","0.0","30","�","0.0"
"Crude Oil Supply ","(7)     Net Imports (Including SPR)","1,743","1,484","259","2,821","-1,078","1,656","2,433","-31.9","2,289","2,867","-20.1"
"Crude Oil Supply ","(8)        Imports","6,529","6,373","156","7,063","-534","6,430","6,320","1.7","6,489","6,327","2.6"
"Crude Oil Supply ","(9)            Commercial Crude Oil","6,529","6,373","156","7,063","-534","6,430","6,320","1.7","6,489","6,327","2.6"
"Crude Oil Supply ","(10)            Imports by SPR","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(11)            Imports into SPR by Others","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(12)        Exports","4,786","4,889","-103","4,242","544","4,774","3,888","22.8","4,199","3,460","21.4"
"Crude Oil Supply ","(13)   Stock Change (+/build; -/draw)","1,243","513","730","-756","1,999","962","-696","� �","3","-588","� �"
"Crude Oil Supply ","(14)       Commercial Stock Change","1,243","513","730","-527","1,770","962","-296","� �","69","45","� �"
"Crude Oil Supply ","(15)       SPR Stock Change","0","0","0","-229","229","0","-400","� �","-65","-633","� �"
"Crude Oil Supply ","(16)   Adjustment","1,085","512","573","733","352","1,095","944","� �","993","553","� �"
"Crude Oil Supply ","(17)   Crude Oil Input to Refineries","15,504","15,399","106","16,410","-906","15,347","16,123","-4.8","15,823","15,904","-0.5"
"Other Supply ","(18)   Production","8,879","8,990","-111","8,328","551","8,840","8,335","6.1","2,579","8,015","-67.8"
"Other Supply ","(19)      Natural Gas Plant Liquids","6,570","6,664","-94","6,031","539","6,531","6,059","7.8","289","5,817","-95.0"
"Other Supply ","(20)      Renewable Fuels/Oxygenate Plant","1,322","1,346","-24","1,244","78","1,330","1,241","7.2","1,273","1,193","6.7"
"Other Supply ","(21)           Fuel Ethanol","1,023","1,047","-24","1,041","-18","1,041","1,036","0.5","1,019","1,006","1.3"
"Other Supply ","(22)          Other","299","299","0","203","96","289","205","40.9","254","187","36.1"
"Other Supply ","(23)      Refinery Processing Gain","987","980","7","1,053","-66","978","1,035","-5.5","1,016","1,006","1.1"
"Other Supply ","(24)   Net Imports","-4,457","-4,345","-112","-4,078","-379","-4,501","-3,875","� �","-4,161","-3,792","� �"
"Other Supply ","(25)      Imports","1,694","1,645","49","1,607","87","1,680","1,979","-15.1","2,014","2,049","-1.7"
"Other Supply ","(26)      Exports","6,151","5,990","161","5,685","466","6,182","5,855","5.6","6,175","5,841","5.7"
"Other Supply ","(27)   Stock Change (+/build; -/draw)","-606","-522","-84","1,005","-1,610","-872","127","� �","108","36","� �"
"Other Supply ","(28)   Adjustment","230","230","0","222","7","229","222","� �","214","222","� �"
"Other Supply ","(29)   Transfers to Crude Oil Supply","-720","-715","-4","�","-720","�","�","0.0","-31","�","�"
