"STUB_1","STUB_2","11/24/23","11/17/23","Difference","11/25/22","Difference","11/24/23","11/25/22","Percent Change","11/24/23","11/25/22","Percent Change"
"Crude Oil Supply ","(1)     Domestic Production","13,200","13,200","0","12,100","1,100","13,200","12,100","9.1","12,528","11,901","5.3"
"Crude Oil Supply ","(2)        Alaska","439","414","24","444","-5","430","447","-3.6","427","438","-2.6"
"Crude Oil Supply ","(3)        Lower 48","12,800","12,800","0","11,700","1,100","12,800","11,700","9.4","12,117","11,486","5.5"
"Crude Oil Supply ","(4)     Transfers to Crude Oil Supply","732","720","13","�","732","�","�","0.0","46","�","0.0"
"Crude Oil Supply ","(5)        Alaskan NGL production","54","38","17","�","54","�","�","0.0","3","�","0.0"
"Crude Oil Supply ","(6)        Natural Gasoline, Condensate, and Unfinished Oils","678","682","-4","�","678","�","�","0.0","44","�","0.0"
"Crude Oil Supply ","(7)     Net Imports (Including SPR)","1,078","1,743","-665","1,089","-10","1,544","2,135","-27.7","2,263","2,829","-20.0"
"Crude Oil Supply ","(8)        Imports","5,833","6,529","-696","6,037","-203","6,282","6,278","0.1","6,475","6,320","2.4"
"Crude Oil Supply ","(9)            Commercial Crude Oil","5,833","6,529","-696","6,037","-203","6,282","6,278","0.1","6,475","6,320","2.4"
"Crude Oil Supply ","(10)            Imports by SPR","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(11)            Imports into SPR by Others","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(12)        Exports","4,755","4,786","-31","4,948","-193","4,739","4,143","14.4","4,211","3,492","20.6"
"Crude Oil Supply ","(13)   Stock Change (+/build; -/draw)","275","1,243","-968","-1,997","2,272","1,003","-1,015","� �","9","-618","� �"
"Crude Oil Supply ","(14)       Commercial Stock Change","230","1,243","-1,013","-1,797","2,027","992","-634","� �","72","6","� �"
"Crude Oil Supply ","(15)       SPR Stock Change","45","0","45","-200","245","11","-381","� �","-63","-624","� �"
"Crude Oil Supply ","(16)   Adjustment","1,287","1,085","202","1,452","-165","1,258","1,072","� �","999","572","� �"
"Crude Oil Supply ","(17)   Crude Oil Input to Refineries","16,022","15,504","518","16,638","-616","15,540","16,322","-4.8","15,827","15,919","-0.6"
"Other Supply ","(18)   Production","9,110","8,879","231","8,319","790","8,929","8,311","7.4","2,719","8,022","-66.1"
"Other Supply ","(19)      Natural Gas Plant Liquids","6,779","6,570","210","6,031","749","6,615","6,031","9.7","428","5,821","-92.6"
"Other Supply ","(20)      Renewable Fuels/Oxygenate Plant","1,310","1,322","-12","1,221","89","1,325","1,233","7.4","1,274","1,193","6.8"
"Other Supply ","(21)           Fuel Ethanol","1,011","1,023","-12","1,018","-6","1,031","1,030","0.1","1,019","1,006","1.3"
"Other Supply ","(22)          Other","299","299","0","203","96","294","203","44.6","255","187","36.3"
"Other Supply ","(23)      Refinery Processing Gain","1,020","987","33","1,068","-48","990","1,047","-5.5","1,017","1,007","0.9"
"Other Supply ","(24)   Net Imports","-5,528","-4,457","-1,071","-4,918","-609","-4,656","-4,191","� �","-4,190","-3,816","� �"
"Other Supply ","(25)      Imports","1,182","1,694","-512","1,910","-727","1,606","1,986","-19.1","1,997","2,046","-2.4"
"Other Supply ","(26)      Exports","6,710","6,151","559","6,828","-118","6,262","6,177","1.4","6,187","5,862","5.5"
"Other Supply ","(27)   Stock Change (+/build; -/draw)","185","-606","791","544","-359","-689","177","� �","109","47","� �"
"Other Supply ","(28)   Adjustment","230","230","0","222","7","229","222","� �","215","222","� �"
"Other Supply ","(29)   Transfers to Crude Oil Supply","-732","-720","-13","�","-732","�","�","0.0","-46","�","�"
"Products Supplied ","(30)   Total","18,917","20,042","-1,125","19,717","-801","20,190","20,487","-1.5","20,165","20,301","-0.7"
"Products Supplied ","(31)     Finished Motor Gasoline","8,206","8,480","-274","8,317","-111","8,782","8,599","2.1","8,836","8,727","1.3"
"Products Supplied ","(32)     Kerosene-Type Jet Fuel","1,672","1,510","162","1,731","-59","1,699","1,610","5.5","1,619","1,543","5.0"
"Products Supplied ","(33)     Distillate Fuel Oil","3,014","4,110","-1,096","3,656","-642","3,883","3,881","0.0","3,808","3,942","-3.4"
"Products Supplied ","(34)     Residual Fuel Oil","451","179","272","284","167","307","297","3.3","236","333","-29.2"
"Products Supplied ","(35)     Propane/Propylene","1,215","982","233","910","305","1,085","983","10.4","967","1,108","-12.7"
"Products Supplied ","(36)     Other Oils","4,360","4,782","-422","4,820","-459","4,435","5,116","-13.3","4,698","4,649","1.1"
"Net Imports of Crude and Petroleum Products ","(33)   Total","-4,449","-2,714","-1,735","-3,830","-620","-3,113","-2,056","51.4","-1,927","-987","95.2"
