date,production
01/1/2010,5507
01/8/2010,5496
01/15/2010,5404
01/22/2010,5421
01/29/2010,5403
02/5/2010,5475
02/12/2010,5482
02/19/2010,5505
02/26/2010,5510
03/5/2010,5527
03/12/2010,5540
03/19/2010,5536
03/26/2010,5489
04/2/2010,5473
04/9/2010,5475
04/16/2010,5466
04/23/2010,5488
04/30/2010,5522
05/7/2010,5533
05/14/2010,5516
05/21/2010,5540
05/28/2010,5320
06/4/2010,5445
06/11/2010,5503
06/18/2010,5501
06/25/2010,5257
07/2/2010,5414
07/9/2010,5352
07/16/2010,5460
07/23/2010,5486
07/30/2010,5440
08/6/2010,5239
08/13/2010,5352
08/20/2010,5511
08/27/2010,5602
09/3/2010,5603
09/10/2010,5573
09/17/2010,5556
09/24/2010,5562
10/1/2010,5514
10/8/2010,5528
10/15/2010,5536
10/22/2010,5540
10/29/2010,5593
11/5/2010,5596
11/12/2010,5597
11/19/2010,5581
11/26/2010,5555
12/3/2010,5582
12/10/2010,5604
12/17/2010,5598
12/24/2010,5575
12/31/2010,5598
01/7/2011,5575
01/14/2011,5205
01/21/2011,5321
01/28/2011,5568
02/4/2011,5597
02/11/2011,5610
02/18/2011,5604
02/25/2011,5591
03/4/2011,5593
03/11/2011,5591
03/18/2011,5570
03/25/2011,5568
04/1/2011,5638
04/8/2011,5635
04/15/2011,5625
04/22/2011,5610
04/29/2011,5623
05/6/2011,5609
05/13/2011,5618
05/20/2011,5583
05/27/2011,5609
06/3/2011,5633
06/10/2011,5643
06/17/2011,5650
06/24/2011,5593
07/1/2011,5520
07/8/2011,5578
07/15/2011,5591
07/22/2011,5377
07/29/2011,5523
08/5/2011,5529
08/12/2011,5561
08/19/2011,5591
08/26/2011,5598
09/2/2011,5642
09/9/2011,5083
09/16/2011,5747
09/23/2011,5756
09/30/2011,5800
10/7/2011,5878
10/14/2011,5891
10/21/2011,5876
10/28/2011,5818
11/4/2011,5846
11/11/2011,5894
11/18/2011,5887
11/25/2011,5864
12/2/2011,5861
12/9/2011,5862
12/16/2011,5862
12/23/2011,5846
12/30/2011,5851
01/6/2012,5844
01/13/2012,5726
01/20/2012,5722
01/27/2012,5720
02/3/2012,5763
02/10/2012,5819
02/17/2012,5817
02/24/2012,5814
03/2/2012,5806
03/9/2012,5830
03/16/2012,5826
03/23/2012,5821
03/30/2012,6049
04/6/2012,6040
04/13/2012,6043
04/20/2012,6113
04/27/2012,6121
05/4/2012,6136
05/11/2012,6149
05/18/2012,6239
05/25/2012,6227
06/1/2012,6245
06/8/2012,6236
06/15/2012,6353
06/22/2012,6257
06/29/2012,6094
07/6/2012,6249
07/13/2012,6245
07/20/2012,6364
07/27/2012,6320
08/3/2012,6218
08/10/2012,6181
08/17/2012,6246
08/24/2012,6258
08/31/2012,5486
09/7/2012,5526
09/14/2012,6277
09/21/2012,6509
09/28/2012,6520
10/5/2012,6598
10/12/2012,6606
10/19/2012,6610
10/26/2012,6669
11/2/2012,6677
11/9/2012,6709
11/16/2012,6710
11/23/2012,6818
11/30/2012,6817
12/7/2012,6852
12/14/2012,6863
12/21/2012,6984
12/28/2012,6985
01/4/2013,7002
01/11/2013,7041
01/18/2013,6989
01/25/2013,6993
02/1/2013,6997
02/8/2013,7064
02/15/2013,7118
02/22/2013,7096
03/1/2013,7093
03/8/2013,7159
03/15/2013,7150
03/22/2013,7151
03/29/2013,7151
04/5/2013,7181
04/12/2013,7208
04/19/2013,7326
04/26/2013,7312
05/3/2013,7369
05/10/2013,7321
05/17/2013,7258
05/24/2013,7292
05/31/2013,7300
06/7/2013,7224
06/14/2013,7129
06/21/2013,7261
06/28/2013,7267
07/5/2013,7401
07/12/2013,7490
07/19/2013,7555
07/26/2013,7542
08/2/2013,7560
08/9/2013,7571
08/16/2013,7518
08/23/2013,7609
08/30/2013,7621
09/6/2013,7745
09/13/2013,7827
09/20/2013,7777
09/27/2013,7784
10/4/2013,7809
10/11/2013,7428
10/18/2013,7896
10/25/2013,7853
11/1/2013,7858
11/8/2013,7981
