Month,U.S. Field Production of Crude Oil Thousand Barrels
Dec 2023,411187
Nov 2023,398858
Oct 2023,409781
Sep 2023,397397
Aug 2023,404274
Jul 2023,400688
Jun 2023,386834
May 2023,393513
Apr 2023,379500
Mar 2023,395874
Feb 2023,350907
Jan 2023,389622
Dec 2022,376280
Nov 2022,371281
Oct 2022,383704
Sep 2022,369756
Aug 2022,371542
Jul 2022,366863
Jun 2022,354009
May 2022,363766
Apr 2022,353095
Mar 2022,365987
Feb 2022,315221
Jan 2022,355873
Dec 2021,362022
Nov 2021,353458
Oct 2021,358477
Sep 2021,327643
Aug 2021,349566
Jul 2021,353165
Jun 2021,340978
May 2021,353082
Apr 2021,339540
Mar 2021,351885
Feb 2021,277646
Jan 2021,345258
Dec 2020,346317
Nov 2020,335884
Oct 2020,324127
Sep 2020,327785
Aug 2020,327939
Jul 2020,341113
Jun 2020,313394
May 2020,301133
Apr 2020,357317
Mar 2020,396652
Feb 2020,372490
Jan 2020,398354
Dec 2019,402391
Nov 2019,389989
Oct 2019,396941
Sep 2019,377521
Aug 2019,386854
Jul 2019,368787
Jun 2019,366482
May 2019,376745
Apr 2019,364337
Mar 2019,369238
Feb 2019,326243
Jan 2019,368016
Dec 2018,370252
Nov 2018,356560
Oct 2018,356746
Sep 2018,343278
Aug 2018,353129
Jul 2018,337791
Jun 2018,319195
May 2018,323463
Apr 2018,314976
Mar 2018,324443
Feb 2018,287337
Jan 2018,310009
Dec 2017,309464
Nov 2017,302542
Oct 2017,299704
Sep 2017,285479
Aug 2017,286742
Jul 2017,286633
Jun 2017,273298
May 2017,284746
Apr 2017,273031
Mar 2017,284082
Feb 2017,254629
Jan 2017,275098
Dec 2016,273271
Nov 2016,267074
Oct 2016,272892
Sep 2016,256292
Aug 2016,269362
Jul 2016,268502
Jun 2016,260264
May 2016,273850
Apr 2016,266194
Mar 2016,282106
Feb 2016,262754
Jan 2016,285235
Dec 2015,287512
Nov 2015,279963
Oct 2015,291381
Sep 2015,284311
Aug 2015,291680
Jul 2015,292781
Jun 2015,280711
May 2015,293684
Apr 2015,289729
Mar 2015,297067
Feb 2015,265709
Jan 2015,290866
Dec 2014,296466
Nov 2014,279723
Oct 2014,287206
Sep 2014,272586
Aug 2014,276865
Jul 2014,274231
Jun 2014,262251
May 2014,267997
Apr 2014,255791
Mar 2014,257189
Feb 2014,227950
Jan 2014,250390
Dec 2013,245904
Nov 2013,237565
Oct 2013,240567
Sep 2013,235142
Aug 2013,233562
Jul 2013,233174
Jun 2013,218314
May 2013,227101
Apr 2013,221205
Mar 2013,223644
Feb 2013,200071
Jan 2013,219570
Dec 2012,220282
Nov 2012,212472
Oct 2012,216057
Sep 2012,197942
Aug 2012,196867
Jul 2012,199368
Jun 2012,188262
May 2012,197456
Apr 2012,189601
Mar 2012,196138
Feb 2012,181783
Jan 2012,191472
Dec 2011,189487
Nov 2011,181157
Oct 2011,182977
Sep 2011,168411
Aug 2011,175618
Jul 2011,168635
Jun 2011,167673
May 2011,174363
Apr 2011,166858
Mar 2011,174158
Feb 2011,151354
Jan 2011,170393
Dec 2010,173831
Nov 2010,167272
Oct 2010,174547
Sep 2010,168473
Aug 2010,168867
Jul 2010,164234
Jun 2010,161385
May 2010,167427
Apr 2010,161769
Mar 2010,170976
Feb 2010,155496
Jan 2010,167529
Dec 2009,169004
Nov 2009,161838
Oct 2009,171258
Sep 2009,166765
Aug 2009,167945
Jul 2009,167336
Jun 2009,158079
May 2009,166684
Apr 2009,158344
Mar 2009,161776
Feb 2009,146698
Jan 2009,159467
Dec 2008,158183
Nov 2008,152343
Oct 2008,146868
Sep 2008,119208
Aug 2008,155092
Jul 2008,160481
Jun 2008,154133
May 2008,159437
Apr 2008,155403
Mar 2008,160868
Feb 2008,149297
Jan 2008,158566
Dec 2007,158427
Nov 2007,151021
Oct 2007,155680
Sep 2007,147061
Aug 2007,154060
Jul 2007,156175
Jun 2007,152254
May 2007,161548
Apr 2007,155407
Mar 2007,158697
Feb 2007,143301
Jan 2007,158342
Dec 2006,160768
Nov 2006,151926
Oct 2006,158353
Sep 2006,150926
Aug 2006,156232
Jul 2006,157919
Jun 2006,154884
May 2006,159667
Apr 2006,152450
Mar 2006,155842
Feb 2006,140894
Jan 2006,156480
Dec 2005,154630
Nov 2005,145708
Oct 2005,141200
Sep 2005,126417
Aug 2005,161153
Jul 2005,162854
Jun 2005,163263
May 2005,173491
Apr 2005,166885
Mar 2005,173626
Feb 2005,154038
Jan 2005,168831
Dec 2004,170815
Nov 2004,162699
Oct 2004,160270
Sep 2004,152444
Aug 2004,165072
Jul 2004,170011
Jun 2004,162208
May 2004,172235
Apr 2004,166810
Mar 2004,174115
Feb 2004,161583
Jan 2004,173132
Dec 2003,172715
Nov 2003,166397
Oct 2003,174020
Sep 2003,168270
Aug 2003,172787
Jul 2003,170452
Jun 2003,169772
May 2003,175568
Apr 2003,171774
Mar 2003,179907
Feb 2003,161920
Jan 2003,178412
Dec 2002,177372
Nov 2002,168706
Oct 2002,166105
Sep 2002,162336
Aug 2002,179670
Jul 2002,178275
Jun 2002,176532
May 2002,183057
Apr 2002,175333
Mar 2002,182460
Feb 2002,164666
Jan 2002,182076
Dec 2001,182511
Nov 2001,176441
Oct 2001,178129
Sep 2001,171270
Aug 2001,177488
Jul 2001,178208
Jun 2001,172974
May 2001,180712
Apr 2001,175879
Mar 2001,182290
Feb 2001,161843
Jan 2001,179767
Dec 2000,181508
Nov 2000,174980
Oct 2000,180080
Sep 2000,172731
Aug 2000,179451
Jul 2000,177920
Jun 2000,174686
May 2000,181242
Apr 2000,175625
Mar 2000,183464
Feb 2000,169703
Jan 2000,179316
