country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
OECD Americas,7886,8156,8395,8658,8781,9031,9613,10250,10626,10901,11421,11483,11542,11456,10996,10504,10217,10528,11183,11437,11856,12081,12568,12588,12872,12886,12269,12155,11952,11372,11130,11305,11090,10831,10717,10580,10733,10897,10758,10141,10232,10313,10373,10483,10233,9881,9690,9546,9149,9178,9292,9492,10386,11408,12629,12976,12190,12524,14039,15300,14181,14105,14744
Canada,564,659,728,768,817,872,956,1046,1109,1173,1305,1375,1539,1742,1635,1381,1255,1263,1249,1394,1294,1159,1127,1170,1270,1250,1130,1238,1280,1223,1207,1195,1236,1296,1351,1380,1401,1414,1428,1346,1392,1377,1446,1459,1405,1360,1346,1388,1349,1217,1227,1261,1309,1382,1400,1263,1186,1213,1273,1304,1199,1185,1232
Chile,22,28,35,40,41,38,37,37,41,40,37,39,37,34,30,27,25,24,19,20,29,37,43,39,38,33,31,28,25,22,20,18,15,15,19,23,9,9,8,8,7,7,6,4,4,4,3,2,2,3,3,5,6,7,7,4,4,3,3,3,1,2,2
Mexico,265,287,300,308,309,317,325,357,381,450,420,434,444,472,558,722,805,996,1207,1472,1937,2313,2749,2691,2685,2631,2428,2541,2507,2513,2548,2676,2668,2673,2685,2618,2858,3022,3071,2906,3012,3127,3177,3371,3383,3334,3256,3082,2798,2601,2577,2552,2548,2522,2429,2267,2153,1948,1810,1679,1663,1665,1622
United States,7035,7183,7332,7542,7614,7804,8295,8810,9096,9238,9659,9635,9522,9208,8774,8375,8132,8245,8707,8552,8597,8572,8649,8688,8879,8971,8680,8349,8140,7613,7355,7417,7171,6847,6662,6560,6465,6452,6252,5881,5822,5801,5744,5649,5441,5184,5086,5074,5000,5357,5484,5674,6524,7497,8793,9442,8848,9359,10953,12315,11318,11254,11887
OECD Europe,319,344,366,393,425,449,439,460,477,494,467,438,450,462,467,616,901,1410,1766,2307,2495,2692,2949,3320,3661,3814,3894,4030,4017,3885,4059,4294,4550,4795,5544,5784,6153,6175,6075,6149,6291,6043,5958,5640,5386,4915,4508,4324,4053,3824,3531,3192,2888,2732,2758,2899,2928,2875,2862,2775,2977,2902,2724
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,10,9,8,6,26,37,42,53,61,74,94,96,111,121,142,157,168,185,186,209,231,237,297,363,347,369,369,389,377,342,305,280,261,246,222,202,176,165,156,140,137,115,102,71,66,65
Norway,0,0,0,0,0,0,0,0,0,0,0,6,33,33,35,189,288,280,356,403,523,501,490,610,692,796,879,1019,1153,1502,1646,1882,2103,2269,2538,2698,3031,3063,2908,2881,3183,3118,2992,2852,2797,2553,2354,2210,2108,1980,1799,1680,1533,1464,1512,1567,1615,1588,1487,1408,1699,1770,1685
United Kingdom,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,24,236,766,1077,1566,1611,1803,2068,2261,2506,2532,2500,2457,2274,1815,1835,1811,1851,1943,2397,2488,2518,2494,2560,2649,2427,2269,2254,2066,1851,1644,1486,1477,1352,1301,1202,1006,869,796,776,880,915,891,985,1007,931,791,723
Others,317,341,364,390,422,447,437,458,475,493,465,431,416,424,429,400,373,353,325,330,355,361,354,407,410,425,441,461,494,458,457,459,439,415,424,412,396,387,370,322,318,309,342,353,348,341,326,332,313,281,284,285,285,296,305,296,258,259,276,258,277,276,251
OECD Asia Pacific,10,13,15,15,17,19,24,35,51,56,184,345,355,438,422,429,448,456,454,458,388,401,387,430,505,580,484,526,506,471,541,506,489,447,478,434,465,497,448,437,637,572,533,420,342,344,334,374,413,377,389,329,323,250,279,257,204,180,144,164,163,143,129
Australia,0,0,0,0,4,7,9,19,35,41,167,327,336,419,406,412,426,431,432,441,371,383,364,407,478,543,441,485,461,422,492,456,439,395,428,390,410,428,392,388,594,532,496,391,316,319,310,326,346,315,328,277,276,209,234,212,165,145,117,136,138,121,110
Others,10,13,15,15,13,12,15,16,15,16,17,18,18,18,17,16,22,25,23,17,17,18,23,23,27,37,42,41,46,49,49,51,51,52,49,44,55,69,56,49,43,40,36,29,26,25,25,48,67,62,61,52,47,41,45,45,39,35,27,28,25,22,19
China,18,24,38,44,55,79,100,120,100,145,210,327,526,646,962,1451,1653,1781,1917,2129,2169,2012,2008,2102,2262,2443,2553,2666,2720,2760,2766,2805,2814,2924,2942,2996,3173,3254,3207,3212,3228,3297,3393,3407,3485,3617,3674,3736,3802,3795,4076,4052,4074,4164,4208,4288,3986,3821,3787,3825,3889,3988,4094
India,17,17,43,68,89,118,182,216,104,257,139,141,148,149,150,161,174,200,226,245,182,291,390,430,528,617,621,609,635,678,669,627,558,532,621,695,661,679,659,656,646,641,661,663,683,652,639,641,635,619,692,726,717,717,720,719,692,688,661,623,587,574,563
Other Asia,506,513,538,522,535,568,564,611,731,881,1011,1093,1353,1692,1763,1655,1836,2119,2129,2158,2169,2137,1823,1810,1923,1842,1992,1847,1900,1997,2165,2349,2360,2404,2424,2517,2518,2455,2498,2431,2549,2508,2482,2575,2588,2474,2420,2270,2280,2253,2193,2100,2125,2026,1985,2084,2090,1989,1886,1825,1686,1560,1451
Brunei,81,72,67,59,60,67,80,87,107,114,133,175,246,325,361,320,299,393,454,501,248,215,162,155,160,154,165,143,141,133,134,145,165,155,162,157,148,147,141,167,178,180,210,214,210,206,221,177,158,155,159,156,146,122,114,115,109,101,100,110,101,98,84
Indonesia,410,424,453,444,457,481,465,505,601,742,854,892,1081,1339,1375,1307,1504,1686,1635,1591,1576,1604,1325,1245,1281,1178,1252,1158,1170,1239,1299,1450,1348,1327,1333,1328,1327,1330,1315,1207,1272,1214,1125,1140,1086,961,896,838,857,826,825,794,763,727,697,690,738,710,685,664,631,585,539
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,268,282,345,408,412,473,452,496,538,572,587,589,567,568,638,633,616,638,610,597,579,596,622,624,571,574,566,568,537,519,456,471,462,493,545,546,543,539,506,456,418,397
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,21,20,17,19,20,23,23,25,24,25,42,55,26,28,33,57,62,76,96,86,114,129,135,144,154,153,140,149,149,139,152,163,141,129,126,117,98,79
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,67,99,123,141,173,175,191,230,260,307,343,344,364,409,378,351,311,297,327,299,304,335,333,312,338,304,272,240,222,194,184,180
Others,16,16,18,20,19,21,20,18,24,25,24,26,26,28,28,28,33,40,40,66,55,49,53,59,61,76,83,77,73,67,82,78,135,208,196,177,179,144,145,155,138,129,132,140,173,243,249,244,256,253,237,249,261,232,230,243,230,222,193,197,188,177,172
Latin America,3439,3589,3911,3987,4144,4249,4211,4487,4601,4600,4718,4597,4356,4635,4213,3545,3510,3517,3539,3775,3609,3600,3458,3386,3455,3432,3600,3500,3583,3811,4304,4431,4588,4662,4852,5081,5281,5445,6389,6209,6297,6194,6291,6175,6585,6813,6836,6752,6835,6884,7068,7254,7153,7176,7312,7450,7067,6765,6207,5961,5536,5575,6027
Argentina,168,227,263,261,268,264,281,308,336,349,385,417,435,420,416,392,388,436,451,472,492,498,491,491,479,460,434,429,445,459,484,490,554,594,668,719,783,834,847,801,769,782,757,740,695,665,658,641,642,604,589,553,549,540,532,532,511,480,489,509,480,513,582
Brazil,85,100,97,103,95,99,122,154,172,164,164,170,167,170,177,172,167,161,160,166,182,213,260,330,462,547,573,567,555,596,631,624,628,643,668,693,784,842,975,1098,1231,1293,1454,1496,1477,1634,1723,1748,1812,1950,2055,2105,2061,2024,2255,2437,2510,2622,2587,2788,2940,2905,3022
Colombia,153,146,142,166,171,199,196,188,173,210,218,215,194,183,167,156,145,136,130,123,125,134,142,152,167,176,302,385,375,404,440,426,438,453,454,585,625,652,747,815,687,604,578,541,531,526,531,530,588,671,785,915,944,1008,990,1006,883,854,865,886,781,736,754
Ecuador,8,8,7,7,8,8,7,6,5,4,4,4,78,209,177,161,188,183,202,214,204,211,210,238,260,279,257,181,302,278,286,300,320,340,373,381,378,382,367,363,392,394,379,402,518,532,536,511,501,465,475,500,504,526,557,543,549,531,517,531,479,473,481
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,73,109,276
Venezuela,2846,2920,3200,3248,3393,3473,3371,3542,3605,3594,3708,3549,3220,3366,2976,2346,2294,2238,2166,2356,2165,2108,1895,1801,1696,1564,1649,1576,1578,1747,2135,2286,2346,2326,2368,2379,2381,2411,3120,2800,2891,2792,2782,2643,3009,3067,3036,2982,2958,2878,2854,2881,2804,2789,2683,2654,2373,2035,1510,1013,569,636,716
Others,179,188,201,203,209,207,233,289,311,278,239,242,262,287,300,319,328,362,431,444,442,435,460,374,392,405,386,363,328,326,329,306,301,306,321,325,330,324,332,331,326,329,341,352,355,390,354,340,334,316,309,299,291,288,295,278,242,244,238,232,213,203,195
Middle East ,5328,5710,6253,6883,7677,8421,9385,10052,11273,12459,13779,16164,17942,21053,21705,19438,22046,22222,21112,21532,18344,15555,12929,11149,10517,9728,12117,11985,14242,15192,16074,15894,17526,18296,18834,18916,19106,19822,21154,20296,21450,20824,18693,20446,21995,22720,22913,22308,23142,20869,21031,23005,24107,23845,23511,24501,26612,25697,25731,24171,22043,22234,25094
Bahrain,43,43,43,43,47,54,59,66,71,73,73,71,67,65,64,58,58,56,53,50,48,45,44,41,41,42,42,42,43,108,108,108,123,141,138,145,174,182,183,176,180,182,187,189,187,187,183,185,184,182,182,190,173,198,203,203,205,195,193,194,196,193,190
IR Iran,1068,1202,1335,1491,1711,1908,2132,2603,2840,3376,3829,4540,5023,5861,6022,5350,5883,5663,5242,3168,1467,1263,2421,2442,2032,2192,2037,2298,2479,2814,3135,3407,3432,3425,3596,3595,3596,3603,3714,3439,3661,3572,3248,3742,3834,4092,4073,4031,4056,3557,3544,3576,3740,3575,3117,3152,3651,3867,3536,2362,1991,2392,2554
Iraq,972,1007,1009,1162,1255,1313,1392,1228,1503,1521,1549,1694,1466,2018,1971,2262,2415,2348,2562,3477,2646,897,1078,1099,1221,1404,1877,2359,2744,2786,2113,282,526,659,749,737,740,1384,2181,2720,2810,2594,2126,1378,2107,1853,1957,2035,2281,2336,2358,2653,2942,2980,3110,3504,4648,4469,4410,4576,3997,3971,4453
Kuwait1,1692,1735,1958,2096,2301,2360,2484,2500,2614,2773,2990,3197,3283,3020,2546,2084,2145,1969,2131,2500,1664,1130,824,1054,1163,936,1174,972,1190,1278,859,185,1057,1882,2007,2007,2006,2007,2052,1873,1996,1947,1746,2108,2289,2573,2665,2575,2676,2262,2312,2659,2978,2925,2867,2859,2954,2704,2737,2678,2438,2415,2707
